"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct"
"1935","On if he prefers the left side or the right side:",9,"the","left","side","or","the","of","the","to","and","a",0.0300000000002001,TRUE
"1936","510 Middleton Ct, $387,000",2,NA,NA,NA,"","middleton",NA,NA,NA,NA,NA,NA,FALSE
"1937","Babbitt was a former airline captain and internationally recognized expert in aviation and labor relations when Obama tapped him in 2009 to head the FAA. He was a pilot for now-defunct Eastern Airlines for 25 years and had served as president of the Air Line Pilots Association in the 1990s.",21,"obama","tapped","him","in","","the","a","my","and","his",0.0399999999999636,FALSE
"1938","Zinfandel is often called California's indigenous wine, but its story is not that simple. Some of the best Zinfandel-based wines from the state's best and most historic vineyards can't use the grape name on their labels.",31,"historic","vineyards","can't","use","the","the","wait","of","to","and",0.0399999999999636,TRUE
"1939","5. Ashby, Paul A 48784 $54 Cleveland, OH",3,NA,NA,"","ashby","paul","paul","a",NA,NA,NA,0,TRUE
"1940","""I think it means that much more to do it on the road at Florida,"" Dunn says proudly.",8,"means","that","much","more","to","than","the","to","i","is",0.0399999999999636,TRUE
"1941","The civil rights attorney is a former journalist who has never before run for office. He wants to eliminate bloat in county government, create jobs and improve the county's children's services agency. He also wants to increase openness in government.",27,"government","create","jobs","and","improve","the","i","a","to","it",0.0300000000002001,FALSE
"1942","2:15 - Legislators closed the budget gap ""without raising taxes on the people of New Jersey""",10,"budget","gap","without","raising","taxes","the","any","power","a","money",0.0299999999997453,FALSE
"1943","The fourth annual event is structured to guarantee deliveries by Christmas Eve.",3,NA,NA,"the","fourth","annual","of","and","to","is","first",0.0399999999999636,FALSE
"1944","The encampment consisted of 14 tents and 17 occupants and had settled in front of Doe Library after previously taking up space in front of Sproul Hall, the campus administration building. The campers were left alone for several days until Friday's 5 a.m. action.",43,"days","until","friday's","","am","the","of","on","or","when",0.0300000000002001,FALSE
"1945","The United States faces a shortage of doctors that will only get more acute if we don't respond to it now.",5,"the","united","states","faces","a","of","and","to","is","first",0.0299999999997453,FALSE
"1946","No more. Now Napa has a bevy of top restaurants like La Toque and Ubuntu, plus tons of casual eating places, boutiques, theater, resorts and the Oxbow Public Market - its own take on San Francisco's Ferry Building.",27,"theater","resorts","and","the","oxbow","of","and","to","the","i",0.0500000000001819,FALSE
"1947","A stimulus-minded politician might think of a different analogy: What about a storm-tossed ship that needs all hands on deck? ""That's a misunderstanding of what's going on here,"" Bullard responds. ""The literature is telling you they (fiscal and monetary policy) are substitutes, not complements.""",42,"and","monetary","policy","are","substitutes","the","a","to","you","i",0.0300000000002001,FALSE
"1948","Average years in NFL: 3.8",3,NA,NA,"average","years","in","to","and","of","i","in",0.0299999999997453,TRUE
"1949","Will the Rangers be facing the Flyers or Devils for the right to play in the Stanley Cup Finals? Or will the winner of Flyers/Devils host the Washington Capitals?",24,"or","will","the","winner","of","of","and","to","is","first",0.0300000000002001,TRUE
"1950","""Today's report must be the beginning, and not the end, of our efforts to discover what has happened at Olympus,"" he said in a statement. ""Elucidating the full extent of the wrongdoing cited in the panel's report will require a wide-ranging investigation.""",2,NA,NA,NA,"today's","report","good","weight","thing","st",NA,0.00999999999976353,FALSE
"1951","Under the new rule, rentals can comprise no more than 10 percent of the properties on any given block in the city. If a block already has 10 percent or more non-owner-occupied homes, other owners cannot rent out their houses.",15,"","percent","of","the","properties","of","the","and","to","is",0.0399999999999636,FALSE
"1952","""You don't want that sick feeling of not coming out on top,"" she said.",6,"don't","want","that","sick","feeling","the","i","is","was","it",0.0399999999999636,FALSE
"1953","If for no other reason, this is also the most beautiful time of year to walk the grounds of Concordia Seminary, the largest green space in Clayton, especially with the poetry of a King James psalm echoing in your ears.",5,"if","for","no","other","reason","the","a","you","me","and",0.0500000000001819,FALSE
"1954","12525 Dawn Beth Dr, $97,000",2,NA,NA,NA,"","dawn",NA,NA,NA,NA,NA,NA,FALSE
"1955","Luebke will tell you he's just one piece of the puzzle. But the 6-foot, 165-pound senior is so much more than a piece. He, or better yet, his position, is the key cog that keeps the Oakville machine running over whatever steps in its way.",5,"luebke","will","tell","you","he's","to","are","can","have","a",0.0300000000002001,FALSE
"1956","Sanofi shares climbed 2.5 percent to 58.21 euros in Paris, giving the French drugmaker a market value of 78.1 billion euros. As of yesterday, the stock had returned 15 percent over the past year including reinvested dividends, compared with 19 percent for the Bloomberg Europe Pharmaceutical Index.",43,"with","","percent","for","the","the","a","me","and","this",0.0299999999997453,TRUE
"1957","CLEVELAND, Ohio -- Researchers at the Cleveland Clinic and California-based Genomic Health, which creates diagnostic tests for cancer, last week presented study results that they say have moved them closer to developing a diagnostic test for localized (nonspreading) prostate cancer.",31,"have","moved","them","closer","to","to","the","a","been","and",0.0399999999999636,TRUE
"1958","Accused in the deaths of some of those children, Gross' trial was broken off in 2000 after an expert witness said he suffered from dementia — a finding called into question a few weeks later when he lucidly answered questions put to him by journalists. He died five years later.",4,NA,"accused","in","the","deaths","of","the","and","to","a",0.0399999999999636,FALSE
"1959","That has many wondering why Fried would hamper his own campaign in what is setting up to be a competitive race in the newly redrawn 14th Legislative District.",16,"in","what","is","setting","up","the","a","to","not","that",0.0399999999999636,FALSE
"1960","""I'm open to this option of raising revenue, and it's consistent with what we've allowed other communities to do, including the city of Minneapolis and others,"" Lanning said.",26,"city","of","minneapolis","and","others","the","i","a","to","it",0.0500000000001819,FALSE
"1961","But the agency pointed out that the no-fly list led authorities to stop Zachary Adam Chesser of northern Virginia from boarding a flight in New York City with plans to continue to Somalia, allegedly to join an al-Qaeda affiliated group. Chesser recently pleaded guilty to charges of supporting Somali terrorists.",4,NA,"but","the","agency","pointed","of","and","to","is","first",0.0199999999999818,FALSE
"1962","The developments at Daiichi and Daini prompted the evacuation of about 80,000 people.",10,"daini","prompted","the","evacuation","of","of","and","to","is","first",0.0399999999999636,TRUE
"1963","Jarrod Parker, one of the A's most high-profile offseason prospect acquisitions, already has hopped into the rotation, and Brad Peacock, another starter from a big winter deal, could be next in line after Oakland's 7-2 loss to the Rays.",24,"peacock","another","starter","from","a","the","a","to","that","his",0.0300000000002001,TRUE
"1964","The last year of the first decade of the 21st century is unlikely to make anyone's all-star list of great travel years. The economic crash-and-burn of the recession hit home in 2010, with millions of people cutting back on the length of trips and the amount of money they spent on vacations.",33,"hit","home","in","","with","the","a","my","and","his",0.0299999999997453,FALSE
"1965","The market of third-party debt collectors is dominated by three types of operators: Agencies that collect debt for another company in exchange for a fee. Firms that buy debt from the original business, often for pennies on the dollar, then keep for themselves whatever they collect. And, law firms that collect through filing lawsuits.",32,"buy","debt","from","the","original","of","and","to","is","first",0.0500000000001819,FALSE
"1966","She added, ""I ride my bike in heels, business suits. I don't think excuses work. If you're determined to ride and save money and gas and do your part for the environment, then there really are no excuses.""",21,"you're","determined","to","ride","and","the","be","a","make","do",0.0499999999997272,FALSE
"1967","Penn State (24-23, 10-8) won the first two games of the series and led 2-1 in the sixth inning Sunday before the Gophers grabbed the lead for good on designated hitter Kurt Schlangen's two-run single in the bottom of the inning.",14,"of","the","series","and","led","the","i","a","of","to",0.0300000000002001,FALSE
"1968","So, it's not a perfect show. But you'll find some unforgettable stories on the plate here that you won't find anywhere else in town. Walk on over.",20,"here","that","you","won't","find","the","to","have","are","can",0.0500000000001819,FALSE
"1969","""It had to be a perfect throw,"" Young said.",9,"a","perfect","throw","young","said","of","and","lot","to","few",0.0399999999999636,FALSE
"1970","Especially neighborhoods in north St. Louis, where greater population losses have left some blocks nearly empty. The 2010 census showed that some north city neighborhoods lost more than 20 percent of their population in a decade, as against the city's overall population drop of 8 percent.",22,"","census","showed","that","some","the","i","is","was","it",0.0299999999997453,FALSE
"1971","""At a young age I realized what kind of people are in this world, what kind of hatreds and injustice we have to deal with,"" said Thomas William Running Rabbit IV. ""How does a child deal with that?""",13,"of","people","are","in","this","the","a","my","and","his",0.0700000000001637,FALSE
"1972","Words that describe a product or service, including new and emerging products, can be a great investment. But it's very important to avoid any copyright or trademark issues that could result in domain forfeiture.",11,"service","including","new","and","emerging","the","i","a","to","it",0.00999999999976353,FALSE
"1973","""There's a lot of history to this building,"" said Michael Gelber, managing partner for Rail Bridge Cellars. ""It's a well-used spot. The mayor and the Kings have done events here, and we already have 20 events booked for the next three months.""",4,NA,"there's","a","lot","of","of","lot","to","and","few",0.0300000000002001,TRUE
"1974","The knock on Armstead, Gorney, is that he appears to play with more physical dominance on offense than on defense and at times takes plays off.",22,"than","on","defense","and","at","the","i","a","to","it",0.0500000000001819,FALSE
"1975","Bale Raos, 1 Jalan Magangan Kulon, Yogyakarta 55131; 274-415-550. A restaurant in the Yogyakarta palace serving Javanese dishes favored by Sultan Hamengkubuwono, $7-$10.",17,"the","yogyakarta","palace","serving","javanese","of","and","to","is","first",0.0299999999997453,FALSE
"1976","Many residents of Hadley Township, a historic century-old primarily African-American neighborhood, have been living in limbo for several years, waiting to see if there will be redevelopment. At first, many neighbors did not want to move. Later, many expressed a desire to know one way or the other. Many now want to be bought out.",45,"desire","to","know","one","way","the","of","be","a","make",0.0500000000001819,FALSE
"1977","There were a series of challenge games, 3-point shooting contests and a dunk contest in addition to games throughout the week.",6,"were","a","series","of","challenge","the","a","and","of","my",0.0299999999997453,FALSE
"1978","AQUARIUS (January 19-February 17): Not all decisions are based on where you're going; sometimes they're informed by where you've been. Don't go down a road you've already traveled before.",12,"are","based","on","where","you're","the","a","my","you","and",0.0500000000001819,FALSE
"1979","""As years go by, we as police officers become hardened and cynical; we sometimes lose focus on the true purpose and reason for our mission,"" Isom said. ""We begin to think in terms of us versus them, and what they owe us for service. But David will always be in that special place where we all started. He had it right. It's we, not them. It's what we owe them, not what they owe us.""",27,"for","our","mission","isom","said","the","a","and","me","this",0.0299999999997453,FALSE
"1980","With him out and other injuries to the team's defenders, second-string players and walk-ons saw plenty of playing time. That's good from a development standpoint, but it doesn't let fans see how an area of concern has come along since last year.",11,"to","the","team's","defenders","secondstring","of","the","and","be","to",0.0500000000001819,FALSE
"1981","JEFF, WHO LIVES AT HOME",2,NA,NA,NA,"jeff","who","who","and","pratto","burton","said",0,TRUE
"1982","Portland State basketball has added another player to the program with signing of Marcus Hall, a 6-4 wing from Fresno City College, to a national letter intent.",22,"wing","from","fresno","city","college","the","a","to","of","council",0.0399999999999636,FALSE
"1983","The once-majestic court building and a second courthouse across the street are rat-infested and falling apart, workers say, with crumbling ceiling tiles, inconsistent heating and cooling, and bathrooms that barely function. Lead paint remains, mold has been found and mites are said to live in the carpets.",19,"falling","apart","workers","say","with","that","i","the","this","to",0.0300000000002001,FALSE
"1984","Their motivation is simple, said John Grubb, a spokesman for the effort: California's education system is among the worst in the nation, the prison system is in the hands of a federal judge, there is an endless water war, ""and the Legislature fails to act.""",18,"education","system","is","among","the","a","the","to","not","that",0.0499999999997272,TRUE
"1985","The two first met while working in an environment where the ability to generate a joke was particularly valued: ""Da Ali G Show,"" Sacha Baron Cohen's absurdist HBO series in which political and cultural figures were interviewed by Cohen while he assumed the guises of white rapper Ali G or clueless Kazakh reporter Borat. Rogen was a writer and Reiser was an associate producer responsible for booking guests without revealing that they'd be participating in a comedic sneak attack instead of a real talk show.",28,"sacha","baron","cohen's","absurdist","hbo","hill","weasel","in",NA,NA,0.0199999999999818,FALSE
"1986","Americans have long been entranced by hooligans who laundered money, bootlegged, bullied and killed. Entrepreneurs have bused tourists to mob haunts in Newark, N.J.; Kansas City, Mo.; and Chicago. Vegas' own godfathers were immortalized in the 1995 Martin Scorsese movie ""Casino,"" which was partly filmed here.",12,"who","laundered","money","bootlegged","bullied","is","the","to","are","has",0.0300000000002001,FALSE
"1987","The attention has given Cain unrivaled exposure since Oct. 30, when the Politico website first broke the story.",6,"attention","has","given","cain","unrivaled","been","to","a","the","that",0.0299999999997453,FALSE
"1988","At the same time, the Mountain West's football powers undoubtedly will demand specifics from San Jose State about improving its facilities, which are overdue for an upgrade.",17,"specifics","from","san","jose","state","the","a","state","to","that",0.0300000000002001,TRUE
"1989","$1.1 trillion: Projected overall cost for Alzheimer’s patients in 2050",2,NA,NA,NA,"","trillion",NA,NA,NA,NA,NA,NA,FALSE
"1990","Charles R. Priestly, 48, ran a Louisiana company called Hummingbird Aviation. Although he won a contract to supply helicopters and personnel to the U.S. Transportation Command for use in Afghanistan, the Federal Aviation Administration denied clearance for Hummingbird to operate there, killing the deal.",18,"won","a","contract","to","supply","the","be","a","make","do",0.0399999999999636,FALSE
"1991","The next wave of valley stock launches may well be made by less-sexy enterprise software companies like Palo Alto Networks, which filed plans earlier this month for a $175 million offering. The Santa Clara-based maker of network security products reported $119 million in fiscal year 2011 revenues, which would have placed it 142nd on this year's list.",48,"fiscal","year","","revenues","which","and","the","which","year","years",0.0300000000002001,TRUE
"1992","The men in the car were 25-year-old Bloomfield residents Joshua Rubens, Rabbiel Williams and Stephan Thompson, 24-year-old Bloomfield resident Emotes Furet and 23-year-old Bloomfield resident Willie Parnagot. On Thursday they were being held at the Bloomfield Police Department in lieu of $250,000 bail each and were awaiting transfer to Essex County Jail.",10,"were","yearold","bloomfield","residents","joshua","to","and","of","often","across",0.0199999999999818,FALSE
"1993","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.",13,"fields","and","platforms","were","named","the","i","a","to","it",0.0499999999997272,FALSE
"1994","We love you Mr. Brown.",5,"we","love","you","mr","brown","to","are","have","can","a",0.0399999999999636,FALSE
"1995","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.",56,"from","his","birthday","he","has","said","was","the","is","has",0.0300000000002001,TRUE
"1996","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.",15,"inspiration","that","i","have","been","to","a","been","the","was",0.0399999999999636,TRUE
"1997","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!",41,"life","i","stamped","the","images","of","and","to","is","first",0.0599999999999454,FALSE
"1998","If you have an alternative argument, let's hear it! :)",3,NA,NA,"if","you","have","to","are","can","have","you",0.0100000000002183,TRUE
"1999","If I were a bear,",4,NA,"if","i","were","a","to","have","was","am","know",0.0299999999997453,FALSE
"2000","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.",7,"have","similar","stories","of","how","the","a","and","my","it",0.0500000000001819,FALSE
"2001","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.",45,"very","ordinariness","makes","them","special","the","to","and","me","in",0.0499999999997272,FALSE
"2002","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.",24,"and","they","cant","afford","to","the","i","a","to","it",0.0300000000002001,TRUE
"2003","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.",136,"designs","we","would","say","remember","have","be","to","the","like",0.0500000000001819,FALSE
"2004","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.",35,"","on","friday","will","need","be","the","a","to","not",0.00999999999976353,FALSE
"2005","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?",35,"sweetener","why","would","you","do","to","have","are","can","a",0.0199999999999818,FALSE
"2006","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“",60,"and","when","necessary","to","safeguard","the","be","a","make","do",0.0399999999999636,FALSE
"2007","State contracts worth over 100 MILLION ringgit!",7,"worth","over","","million","ringgit","the","in","a","to","and",0.0399999999999636,FALSE
"2008","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”",14,"by","your","own","fairytale","by","the","and","to","a","in",0.0399999999999636,FALSE
"2009","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!",70,"a","few","people","were","seen","to","of","and","not","lot",0.0500000000001819,FALSE
"2010","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.",5,"we","attend","our","friend","kendra's","have","to","are","is","and",0.0300000000002001,FALSE
"2011","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”",31,"of","chase","a","journalist","who","of","the","lot","and","to",0.0499999999997272,FALSE
"2012","Fallout by Ellen Hopkins (p.1-140)",5,"fallout","by","ellen","hopkins","p","the","a","an","bloomberg","from",0.0300000000002001,FALSE
"2013","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)",10,"or","more","likely","refuse","the","than","to","the","a","about",0.0499999999997272,TRUE
"2014","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.",19,"if","all","is","good","ill","a","the","to","not","that",0.0300000000002001,FALSE
"2015","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!",7,"hoping","howie","would","smash","his","be","have","like","to","the",0.0500000000001819,FALSE
"2016","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance",10,"and","toning","benefits","enhances","facial","the","i","a","to","it",0.0300000000002001,FALSE
"2017","for I did not come to condemn the world but to save the world.",8,"not","come","to","condemn","the","the","be","a","make","do",0.0299999999997453,TRUE
"2018","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.",61,"with","the","phone","hoping","the","of","and","the","to","is",0.0599999999999454,TRUE
"2019","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.",18,"a","book","is","always","better","a","to","the","not","of",0.0399999999999636,FALSE
"2020","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?",123,"it","simple","and","smart","to","the","i","a","to","it",0.0599999999999454,TRUE
"2021","‘Tis all.",2,NA,NA,NA,"tis","all","all",NA,NA,NA,NA,0,TRUE
"2022","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.",41,"gathering","is","fun","free","and","a","to","the","not","that",0.0100000000002183,FALSE
"2023","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.",7,"had","earlier","approached","the","south","of","and","to","is","first",0.0500000000001819,FALSE
"2024","I am 32 weeks pregnant!",4,NA,"i","am","","weeks","have","to","was","am","know",0.0299999999997453,FALSE
"2025","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.",48,"to","the","value","of","k","the","a","of","and","my",0.0500000000001819,FALSE
"2026","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.",11,"solution","that","involves","several","smaller","the","i","is","was","it",0.0499999999997272,FALSE
"2027","»Scene 2: Shays’ apartment«",2,NA,NA,NA,"scene","","in","i","that","at","by",0,FALSE
"2028","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.",20,"thin","and","able","to","'roll","the","be","a","make","do",0.0399999999999636,FALSE
"2029","Her fiction and non-fiction has appeared in many magazines and reviews including Oprah Magazine. She has been featured in the New York Times, Newsweek, Time, USA Today and on the Today Show, and NPR radio.",4,NA,"her","fiction","and","nonfiction","the","i","a","to","it",0.0500000000001819,FALSE
"2030","It's a sickening feeling.",4,NA,"it's","a","sickening","feeling","of","lot","to","and","few",0.0199999999999818,FALSE
"2031","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.",37,"humans","do","you","know","who","the","to","are","can","that",0.0300000000002001,FALSE
"2032","Ed Switenky, manager of traffic engineering and operations, couldn't comment on any short-term improvements the city might be able to make to Governor's Road - in light of last week's accident.",23,"able","to","make","to","governor's","the","be","a","make","do",0.0399999999999636,FALSE
"2033","And I very much doubt if it will end there. Because of all the foregoing factors, and the immediate crisis Murdoch faces, BSkyB’s movers know that he must do this deal….or wind up in very bad shape as a business. There may also come a point at which BSkyB find Murdoch himself simply too toxic to have as a buyer anyway.",38,"in","very","bad","shape","as","the","a","and","as","my",0.0499999999997272,TRUE
"2034","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!",11,"my","craft","space","since","it's","the","and","life","is","for",0.0500000000001819,FALSE
"2035","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.",42,"their","vocation","and","ministry","they","the","i","a","to","it",0.0299999999997453,FALSE
"2036","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.",36,"daughters","to","go","gallivanting","in","the","be","a","make","do",0.0500000000001819,FALSE
"2037","1/3 cup tomato paste",2,NA,NA,NA,"","cup",NA,NA,NA,NA,NA,NA,FALSE
"2038","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.",49,"using","that","seat","on","the","the","a","my","and","i",0.320000000000164,TRUE
"2039","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!",27,"a","nose","flute","made","it","of","a","it","lot","the",0.0499999999997272,TRUE
"2040","could be added to the gallery wall.",5,"could","be","added","to","the","the","be","a","make","do",0.0500000000001819,TRUE
"2041","3 T ketchup",3,NA,NA,"","t","ketchup","ketchup",NA,NA,NA,NA,0.00999999999976353,TRUE
"2042","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.",144,"tapping","sold","out","no","more","of","the","matter","on","in",0.0300000000002001,FALSE
"2043","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.",30,"i","was","worried","because","it","a","the","of","to","it",0.0500000000001819,TRUE
"2044","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.",11,"residential","commercial","or","industrial","property","the","a","more","to","it",0.0299999999997453,FALSE
"2045","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.",16,"suitcase","as","it","bobbed","off","was","is","a","the","to",0.0300000000002001,FALSE
