"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"618","Let's attack it point by point. His biggest mistake: confusing the shilling Ales of the 19th century with the shilling Pale Ales of the 20th. Yes they were 60/- to 140/- or even 160/- Ales. But these were the thick sweet type of Ales than resembled Burton Ale.","lets attack it point by point his biggest mistake confusing the shilling ales of the th century with the shilling pale ales of the th yes they were to or even ales but these",35,"were","th","though","resembled","thick",NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"619","That is my second “In my day” moment this week. The first was the posh frocks shop selling “Prom dresses”. In my day it was the school disco, and we did not particularly dress up. I’m too young for “In my day” moments!","that",2,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"620","and you can only use pictures from iPhoto, and iPhoto doesn’t work very, and even if it did it would still take a while, how does this work on the new computer QUESTION MARK?","and you can only use pictures from iphoto and iphoto doesn’t work very and even if it did it would still take a while how does this work on the",31,"new","other","back","way","th","front","ground","right","top","internet","same",0.0200000000040745,FALSE
"621","You can roll it on or brush it on.","you can",3,"roll","see","do","be","use","have","get","also","take","imagine","even",0,FALSE
"622","Pretty cool. C","pretty",2,"cool","much","cool","sure","good","happy","awesome","straight","things","fun","little",0.0199999999967986,TRUE
"623","Wild organ, fast and hard drums, out of control tenor sax—this was the sound of East Coast Young America. Jerry Gross, Arnie Silver and Mike Freda join in:","wild fast and hard drums",6,"out","control","artie",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"624","Here is Block #1 of the Vintage Rouge 6 month BOM program by Marcus Brothers.","here is",3,"block","the","my",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"625","Most American Colonists were English, so most Colonial homes are derived from English styles. The earliest were based on old medieval homes, easily identified by simple massing, a few small windows, and massive chimneys. The New England saltbox with its lower back roofline is a common adaptation of the medieval style; Dutch Colonials have similar massing but are distinguished by their distinctive gambrel roof style.","most american colonists were english so most colonial homes are derived from english styles the earliest were based on old medieval homes easily identified by simple massing a few small windows and massive chimneys the",36,"new","new",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"626","Beervana - was a phrase coined in Oregon to describe the burgeoning craft beer movement that had taken hold here in the 1980s. And indeed, it's an apt description, as those who are actively involved in the beer community think of it a near-religious experience to make and enjoy well-made brew.","beervana was a phrase coined in oregon to describe the burgeoning craft movement that had taken hold here in the s and",23,"indeed","way","new","world","black","people","good","two","book","city","beautiful",0.0400000000008731,FALSE
"627","For he commandeth, and raiseth the stormy wind, which lifteth up the waves thereof.","for he commandeth",4,"and","raiseth",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"628","At the United Nations headquarters, leaders of the world voiced their dissatisfaction that none of the UN members did anything big to ensure that the moment would be celebrated next year onwards.","at the united nations headquarters leaders",7,"of","world","call","keep","spent","object","actively","bersih","organize",NA,NA,0.0100000000020373,FALSE
"629","I spoke to half a dozen of the vendors and they were all pleased with the crowd turn out. PLEASE PLEASE PLEASE have the V & E Greenline Artwalk event again! We loved it.","i spoke to half a dozen",7,"of","actually","local","nation","blogs","vendors",NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"630","A month ago JCK's cozy little world was turned upside down. Her sweet 7 year old boy came home and uttered the completely unexpected, yet dreaded phrase... Mommy, I know what the ""F"" Word is. Henceforth known in the Motherscribe household as the day the world was tossed asunder or Oh, GOD, NOOO...not the ""F"" Word.","a month ago jcks cozy little world was turned upside down her sweet year old boy came",18,"home","back","across","home","day","time","school","days","point","still","one",0.0299999999988358,TRUE
"631","I’m certain that I’ve given, and oh how you can take","i’m",2,"certain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"632","A business owner’s policy (BOP) might be the perfect fit for your small business insurance needs. Make sure you understand exactly what is and what is not covered and if needed, secure additional coverage to fill in any gaps. By leveraging the cost savings provided by BOP coverage, businesses can ensure they have the protection they need at a price they can afford.","a business owner’s policy bop might be the perfect fit for your small business insurance needs make sure you understand exactly what is and what is not covered and if needed secure additional coverage to fill in any gaps by leveraging the cost savings provided by bop coverage businesses can ensure they have",54,"the","the","to","been",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"633","Mega Millions Mojo","mega millions",3,"mojo","people","dollars","profits","vietnamese","mojo",NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"634","lot people that if you strike your pup at the rear-end every time he barks, you will presently discover that he s not supposed to roar. This method, although successful, could make your pup live in dread of being physically reprimanded, and steal the grade of a person’s romantic relationship.","lot people that if you strike your pup at the rearend every time he barks you will",18,"presently","see","find","be","have","only",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"635","This is considered illegal in Cuba, as it is in many counties, including the United States and, as the document explains, the accused has acknowledged his responsibility for the crimes committed.","this is considered illegal in cuba as it is in many counties including the",15,"united","new",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"636","A Song","a",2,"song",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"637","So remember if you want you find yourself absorbed into the world of magic pick up the series of Harry Potter.","so",2,"remember",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"638","Here is what I believe God showed me this morning.","here is what",4,"i","you","is","he",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"639","PUBLISHING NEWS:","publishing",2,"news","news","group","fact","cookbook","division",NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"640","I really really do love character design, and this comic totally pushes me into animation even more so. I just got accepted to SCAD- and they have a great animation program! I'm so excited! (and also nervous~~!)","i really really do love character design and this comic totally",12,"pushes","good","new","love","ready","place","working","name","worth","trust","resolved",0.0100000000020373,FALSE
"641","perpetual water shortage.","perpetual",2,"water","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"642","Sierra LaMar, you will remain in our hearts and in the press until there is resolve to your disappearance.","sierra lamar you will remain in our hearts and in the press until there is resolve to",18,"your","try",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"643","but only words","but",2,"only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"644","First up is Nikki Sivils, Scrapbooker's new lines! I absolutely LOVE LOVE LOVE her new papers, stickers and there are so many of them!!! I had so much fun creating these projects with them. Here is my birdhouse with 2 birdies that are holding a cute banner (from her papers!). It's using the new Summer line.","first up is nikki sivils scrapbookers new lines i absolutely love love love her new papers stickers and there are so many of them i had so much fun creating these projects with them here is my birdhouse with birdies that are",43,"holding","super",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"645","those summer storms swelling","those",2,"summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"646","But now the shadows are all gone. Don’t think for a minute that cancer won that battle. Yesterday, Ralph’s cancer was buried in the ground for good—it’s done, it’s over, it can’t do him anymore harm. And what about Ralph? Well, you remember what Jesus said to Martha as they stood next to Lazarus’ grave? “I am the resurrection and the life. He that believes in me, though he were dead yet shall he live. He that lives and believes in me will never die.” Ralph lived and believed in the Lord, and that means that Ralph is alive and well with the Lord today. It may not look like it on the surface, and it doesn’t much feel like it right now in our hearts, but Ralph won that battle with cancer, and he’s taking his victory lap in heaven even now. You know, heaven—that place where cancer can never find its way in.","but now the shadows are all gone don’t think for a minute that cancer won that",17,"battle","battle",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"647","The most common types of examinations conducted in this category are:","the most common types of examinations conducted",8,"in","category",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"648","It's official: I am going to be pregnant forever. Yes, I will be the first woman in history to carry her baby for decades.","its official i am going to be pregnant forever yes i will be the first",16,"woman","time","thing","one","book","place","woman","week","two","person","of",0.0199999999967986,TRUE
"649","""You know what I think? she says.","you know what i think she",7,"says","im","may","people","will","one","ive","now","know","also","beer",0.0400000000008731,FALSE
"650","Daddy and I could have never imagined the joy you would bring into our lives. And we would have never believed that at age 8 you would be in the middle of a fundraising goal to help people you might never meet. Its thrilling to see your relationship with God grow, and a blessing to be able to see Him challenge you through this. We love you.","daddy and i could have never imagined the joy you would bring into our lives and we would have never believed that at age you would be in the middle of a fundraising goal to help people you might never meet its thrilling to see your relationship with god grow",51,"and","get","need","us","happen","business","since","many","less","place","seeing",0.0100000000020373,FALSE
"651","So, no, we don’t hate the rich. What we hate are the predators.","so no we don’t hate the rich what we hate are",12,"the","see","people","things","whites","feet","remodeling","stupid","rich","bore","predators",0.0199999999967986,FALSE
"652","When you blame the victim of a crime, you put your own perceptions and judgments ahead of their assault.","when you blame the victim of a crime you put your own perceptions and judgments ahead of",18,"their","time",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"653","- Snacks. My hubby was starving the whole two days. And seriously, how many fruit cups can you eat before you never want to see another one again?","snacks my hubby was starving the whole two days and seriously how many fruit",15,"cups","juice","like","people","cream","whole","minute","thought","cake","eating","spread",0.0400000000008731,FALSE
"654","Well I needn't have been because on arrival you could tell instantly that the stars where brighter and there where lots of them, and although its not really the right time of year we could definitely make out the edges of the Milky Way.","well i",3,"neednt","cant",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"655","#2 ~ Manganese Blue Archival Ink","manganese blue archival",4,"ink","ink",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"656","The app is available for download from the iTunes Store, and until midnight Saturday, April 28, it’s available for just 99¢ in honor of Earth Week (regular price is USD $2.99). So be sure to grab your copy today for your i-device!","the app is available for download from the itunes store and until midnight saturday april it’s available for just � in honor of earth week regular price is usd so be sure to grab your",36,"copy","cup","onto","copy","attention",NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"657","a big part of my classroom!","a big",3,"part","business","deal","city","shot","apple","audio","blue","brother","dog","fish",0.0299999999988358,FALSE
"658","Whew. I went to bed at 7 last night and I'm feeling much better. I basically relied on fake enthusiasm to get through the day, and it worked. No major meltdowns (which have been almost daily for one of mine lately) and my lowest kid finally made it past 50 words a minute! (Yes, the goal for the end of the year is 90, but he was stuck in the high 20's/ early 30's for so long that this is a HUGE victory!)","whew i went to bed at last night and im feeling much better i basically relied on fake enthusiasm to get through the day and it worked no major meltdowns which have been almost daily for one of mine lately and my lowest kid finally made it past words a minute yes the",54,"goal","love","know","new","will","can","good","even","im","cup","yes",0.0299999999988358,FALSE
"659","I unconsciously transform, and I consciously rebuild.","i unconsciously transform and i consciously",7,"rebuild","rebuild",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"660","1/2 cup half-and-half","cup",2,"halfandhalf","dvd","sugar","tea","whole","water","available","final","cricket","runs","talk",0.0200000000040745,FALSE
"661","February 1st- current (continued to use the Body By Vi programming)","february st current continued",5,"to","tell","use","talking","went","walking","walk","print","act","influence","abundance",0.0199999999967986,FALSE
"662","Last night I was delighted to attend the launch party for Shelley Harris's debut novel, Jubilee. Shelley is living, breathing proof that debut novelists are still being published if they have talent, commitment and dedication. Shelley has bucketloads of all three and thoroughly deserves her success.","last night i was delighted to attend the launch party for shelley harriss debut novel jubilee shelley is living breathing proof that debut novelists are still being published if they have talent commitment and dedication shelley has bucketloads of all three and",43,"thoroughly","the","of","days","times","years","kids","months","like","year","people",0.0299999999988358,FALSE
"663","Madness showcased songs from their brand new, as yet untitled, tenth studio album, in all its glory during their 'rehearsal set' this past Friday night at the House of Fun Weekender in the U.K. As with ‘The Liberty of Norton Folgate’ which the band performed live a full year before its release, Madness gave the new album tracks an early airing in their embryonic state for their most hardcore fans who attended the show. Quite a few of the songs have been played live during the band's summer tour, but it was the live debut for more than half the songs on the set list.","madness showcased songs from their brand new as yet untitled tenth studio album in all its glory during their rehearsal set this past friday night at the house of fun weekender in the uk as with ‘the liberty of norton folgate’ which the band performed live a full year before its release madness gave the new album",58,"tracks","one","better","little","last","expected","collection","french","deeply","franklin","globe",0.0100000000020373,FALSE
"664","The day I went to meet a man with chickens","the day i went",5,"to","to",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"665","To begin with, the film is directed by one of my favourite directors Darren Aronofsky. Secondly, I’m obsessed with Audrey Hepburn. So seeing Natalie Portman in a evil Hepburn-esque getup in the movie’s first still that I saw intrigued me.","to begin with",4,"the","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"666","Everything looks so yummy! And they last forever once they’re made.","everything looks so yummy and they",7,"last","will","have","made","loved","are","were",NA,NA,NA,NA,0.0199999999967986,FALSE
"667","Last Saturday we had another Hugs and Kisses class at Treehouse Textiles. Five gorgeous women, piles of beautiful fabrics, amazing food and lots of coffee and treats all added up to a wonderful day. One of the things I have really taken away from these classes is the inspiration and enjoyment you get from seeing how other crafters put together their fabric and colour choices.","last saturday we had another hugs and kisses class at treehouse textiles five gorgeous women piles of beautiful fabrics amazing food and lots of coffee and treats all added up to a wonderful day one of the things i have really taken away from these classes is the inspiration and enjoyment you get from",55,"seeing","back","one","ready","see","home","away","lot","feel","done","day",0.0299999999988358,FALSE
"668","let my life be dots and dashes,","let my life",4,"be","now","is","and",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"669","Harkaway’s writing is mindbogglingly imaginative: memorable characters, logic-defying (yet never quite illogical) plotting, and unpredictable twists. Angelmaker is much like a finely-built baroque clock: gazillions of pieces in constant movement, adding up to something gorgeous.","harkaway’s writing is mindbogglingly",5,"imaginative","life","projects","know","get","also","new","make","one","two","better",0.0400000000008731,FALSE
"670","What I loved most about this flick was how the fighting, action, and blood were filled with so much energy and were better than half of the shit I’ve seen in the past 10 years, that I wanted more of it. Right from the beginning we get a nice little fight between The Bride and her second target on her list and it seems goofy because of all of the swooshing you hear when they move, but it’s so vicious and so brutal that it’s hard to laugh especially when these chicks are very close to just gutting the other person out. It’s a very minor scene but it’s one that starts the film off on the right foot and the action just keeps getting better by getting more vicious, more violent, and a hell of a lot more bloody. The blood is insane in this flick and it may be a bit ridiculous how Tarantino just makes every single kill have blood shoot out from these people, but it still gives this film this cool and deadly look that could only be achieved with an R-rating. Actually, it’s more of a very hard R-rating, one that only Tarantino can get because he’s the freakin’ man.","what i loved most about this flick was how the fighting action and blood were filled with so much energy and were better than half of the i’ve seen in the past years that i wanted more of it right from the beginning we get a nice little fight between the bride and her second target on her list and it seems goofy because of all of the swooshing you hear when they move but it’s so vicious and so brutal that it’s hard to laugh especially when these chicks are very close to just gutting the other person out it’s a very minor scene but it’s one that starts the film off on the right foot and the action just keeps getting better by getting more vicious more violent and a of a lot more bloody the blood is insane in this flick and it may be a bit ridiculous how tarantino just makes every single have blood shoot out from these people",165,"but","are","who",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"671","Started work for my first internship two weeks ago. So far, it’s been pretty good – I’ve been going to the office on a part-time basis, and I’m working directly with the CEO. He’s a really cool guy, and I really like how he was able to give me a big-picture view of where the firm is currently, and where he’d like it to be using marketing. Also, I found out that I’ll be traveling to Washington, D.C., for a week with the firm after finals! Exciting stuff.","started work for my first internship two weeks ago so far it’s been pretty good – i’ve been going to the office on a parttime basis and i’m working directly with the ceo he’s a really cool guy and i really like how he was able to give me a bigpicture view of where the firm is currently and where he’d like it to be using marketing also i found out that i’ll be traveling to washington dc for a week with",83,"the","little","new","large","few","bit","look","man","full","vintage","huge",0.0299999999988358,FALSE
"672","meanwhile 100 grams of crushed raspberries and pour into the batter and mix well, pour the batter evenly into the mold and put into the oven for 20 minutes do not forget to check the center of the cake with a toothpick to a level of maturity at minute 15 after being cooked allow up to 10 minutes","meanwhile grams of crushed raspberries and pour into the batter and mix well pour the batter evenly into the mold and put",23,"into","together","away","foot","place","money","photos","back","way","new","just",0.0299999999988358,FALSE
"673","Publisher: Virtualnye Prostranstva LLC","publisher",2,"virtualnye","else","didnt","called","changed","interested","opened","aasl","virtualnye",NA,NA,0.0199999999967986,TRUE
"674","So here's the real question...Where do these worlds collide in my day to day activities? For me- it's simple...my Journal is a list of all my scrapbooking projects and the names of all my imaginary kittens.","so heres the real questionwhere do these worlds collide in my day to day activities for me its",19,"simplemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"675","well-anchored calm, respect & humble discipline","wellanchored calm respect humble",5,"discipline","discipline","respectful",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"676","Open Boat Time","open boat",3,"time","time","just","one","give","every","without","fear","trip","staying","noticed",0.0199999999967986,TRUE
"677","Menehune Longboard Final 14 & Under, M/F)","menehune longboard final under",5,"mf","piece","scene","time","say","hour","death","run","alcohol","squad","images",0.0400000000008731,FALSE
"678","""Your decision to resign from the government demonstrates the importance you attach to your integrity.","your decision to resign from the government demonstrates the importance you attach",13,"to","glass","collar","integrity",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"679","“When I walked passed a pack of police officers on both sides, they punched and kicked me,” Wong Chin Huat, one of the leaders of the Bersih electoral reform movement, told the news website Malaysiakini.","“when i walked passed a",6,"pack","away","baby","can","call","house","law","difficult","teenage","sleeping","pack",0,TRUE
"680","Let me tell you a little secret. A real Master of karate is very humble, respectful, and doesn't tell anyone about his skills. That way if he's forced to use them, the inevitable butt-kicking is a big surprise. I was bothered by a so-called karate expert once. I had finally had enough and confronted him. The final straw had been when he grabbed my wife's posterior. As I moved towards him, he stepped back, got into some weird stance, raised his hands and said,","let me",3,"tell","say","tell",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"681","And write them.","and write",3,"them","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"682","And the sugar kit is a very eclectic mix of papers from the new Amy Tangerine line from American Crafts, which I loved when I first saw it. I love how the papers all go together but aren't matchy matchy and there are some fun brights but lots of neutrals. One of the papers has real stitching on it too.","and the sugar kit is a very eclectic mix of papers from the new amy tangerine line from american crafts which i loved when i first saw it i love",31,"how","the","it","how","my","that","to","you",NA,NA,NA,0.0100000000020373,TRUE
"683","And he has stood his ground. Running behind the wagon while standing his ground, note, and not running to the loo.","and",2,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"684","I sliced the loaf horizontally into two, spread some meat sauce (minced beef cooked with some chopped onions and ready made tomatoe-based pasta sauce...very much like cooking a simple bolognese sauce) and topped it with mozzarella cheese before popping it into the oven. The meal was prepared under 15 minutes...with minimal preparation, cooking, and cleaning.","i sliced the loaf horizontally into two",8,"spread","weeks","years","hours","days","different","year","new","things","minutes","books",0.0199999999967986,FALSE
"685","So I was pleased to see preservation when I visited Newcastle East.","so i was pleased to see preservation when i",10,"visited","was","got","get","finally","am","say","think","first","found","saw",0.0100000000020373,FALSE
"686","Carter, shut it. I’ll get you back.","carter shut it i’ll get you",7,"back","in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"687","This Week In the past week Israeli forces staged four nighttime raids into the village of Nabi Saleh, arresting three, two of them minors.","this week in the past week israeli forces staged four nighttime",12,"raids","experience","bugs","raids",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"688","I finished my stupid paper. It sucks. When it comes to really short essay type stuff I get angered. I have a big mouth, and I like to blab about a lot of things. Short papers make me feel like someone put a muzzle on me.","i finished my paper it sucks when it comes to really short essay type stuff i get angered i have a big mouth and i like to blab about a lot of things short papers make me feel like someone",41,"put","else","going","love","can","say","like","just","never","give","feel",0.0200000000040745,FALSE
"689","Over the next few entries, we’re going to take a look at the incredible benefits of approaching God as a dad. For now, turn your computer off, put the cell phone down, and run into the arms of your Daddy!","over the next few entries we’re going",8,"to","back","try","come","well","go","take","blog","call","like","get",0.0199999999967986,FALSE
"690","That Math and Art is not connected.","that math and",4,"art","is","the","he","now","time","one","art","skills","apparently",NA,0.0400000000008731,TRUE
"691","AF: Don’t get eaten. #RunForYourLife","af don’t",3,"get",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"692","That’s trillion, with a T.","that’s trillion",3,"with","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"693","This should be a dedicated air superiority platform with no surface attack or reconnaissance rolls. It should be designed with dog fighting as its primary function and therefore have the agility to defeat any hostile aircraft it meets. Its attributes should include;","this should be a dedicated air superiority platform with no surface attack or reconnaissance rolls it should be designed with dog fighting as its",25,"primary","tattling","last","words","side","kingdom","target","action","enemies","weather","primary",0.0299999999988358,TRUE
"694","If you don’t like Zooey Deschanel, you’d probably turn down a free turkey leg at a festival.","if you don’t like zooey deschanel you’d probably turn down a free turkey leg at",16,"a","little","words","twisted","festival","grabs","anchor","equally","rotating",NA,NA,0.0300000000061118,FALSE
"695","The nurse came in and said my midwife was eating down the street and wanted to know my dilation. So I got out to be checked. She said I was a 4 1/2 cm and %80 effaced. I was immediately discouraged, and now knew why women choose not to be checked. I stayed out of the tub for a while and birthed on the birth ball, tried to walk around (standing in any way seriously made contractions hurt so much worse) even laid on the bed for a little bit. I was now moaning and even crying with each contraction. My nurse was monitoring them and confirmed they were 1 min apart sometime 30 seconds apart, lasting 60-90 seconds.","the nurse came in and said my midwife was eating down the street and wanted to know my dilation so i got out to be checked she said i was a cm and effaced i was immediately discouraged and now knew why women choose not to be checked i stayed out of the tub for a while and birthed on the birth ball tried to walk around standing in any way seriously made contractions hurt so much worse even laid on the bed for a little bit i was now moaning and even crying with",96,"each","im","breath","contraction",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"696","Now I'll be blunt: I write the following to clear up some misconceptions about Elwood's work that have been allowed to foster on the internet, with several assertions having gone unchecked for the better part of a decade. I did not know Mr. Elwood nor any of his detractors, but a few claims need to be corrected (and, with a handful of exceptions, I own almost every title from the period in question bearing Elwood's name);","now ill be blunt i write the following to clear up some misconceptions about elwoods work that have been allowed to foster on the internet with several assertions having gone unchecked for the better part of a decade i did not know mr elwood nor any of his detractors but a few claims need to be corrected and",59,"with","handful",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"697","He returns to India to pitch this idea to his fancy son, Ragiv (Apurva Agnihoti), who is of course amoral having been raised in the USA. But how to soften this blow to Ragiv? How can a lad raised in the pure and constant luxury of America understand and accept India, a developing country?","he returns to india to pitch this idea to his fancy son ragiv apurva agnihoti who is of course amoral having been raised in the usa but how to",30,"soften","get","make","find","react","improve","be",NA,NA,NA,NA,0.0299999999988358,FALSE
"698","Go Packers! (I'll get there by Sunday...)","go packers ill",4,"get","admit","get","say","tell","give","try","something","now","bit","back",0,TRUE
"699","This was done on the fly, made as one of 12 original pages for a documentation book of a cd swap. (It was #3.) The photograph is one of my signature old photographs; it always makes me smile. and I love how well it works in the spontaneous structure of the page.","this was done on the fly made as one of original pages for a documentation book of a cd swap it was the photograph is one of my signature old photographs it always makes",35,"me","think","one","better","first","feel","us","place","hard","sense","aware",0,FALSE
"700","My own scarlet vesture beneath my breast.","my own scarlet vesture",5,"beneath","beneath",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"701","Alli on the top bunk with me kept whispering under her breath different songs all the while sticking her finger in my toes (I hate my feet touched.).","alli on the top bunk with me kept whispering under her breath different songs all the while sticking her finger in",22,"my","life","own","room","bit","hand","around","reason","within","toes","fifers",0.0500000000029104,FALSE
"702","I am very fortunate to have a very loving partner. We have been together for 12 years now. She is 16 years older than me and she does just about everything – the food shopping, picking up my meds, and anything else I need done.","i am",3,"very","not","going","so","still","the","ready","and","very","now","also",0.0400000000008731,TRUE
"703","1. League of Legends (Hereby referred to as LoL) is a MOBA. You control just 1 unit most of the time, and it’s called a hero/champion/macguffit. Dawn of War (Hereby referred to as DoW), you control armies. Many people. HANDLE THEM.","league of legends hereby referred to as lol is a moba you control just unit most of the time and it’s called a herochampionmacguffit dawn of war",28,"hereby","going","year","years","friend","name","women","family","increased","policies","memorial",0.0199999999967986,FALSE
"704","0:15: Cue cards would probably work better than a piece of paper that you glance down at.","cue cards would probably work better than a piece of paper that you",14,"glance","can","are","will","have","need","were","do",NA,NA,NA,0.0100000000020373,FALSE
"705","Below, we are walking from the Guest House to the Director’s office. The head of the Guest House took us the most direct route–through a construction zone! Kim is holding our gift to the Director–a Penn State mug and key chain.","below we are walking from the guest house to the director’s office the head of the guest house took us the most direct",24,"route–through","job","action","link","relationship","knowledge","flights","strategies",NA,NA,NA,0.0299999999988358,FALSE
"706","Schools of social work, and associations of social workers, have a vested interest in making social work sound grand and glorious. Let me put it this way: if you want to get your janitors excited about their job, and if you want to inveigle others into hiring on for the same, you don’t dwell upon the part that involves cleaning the toilet. Instead, you characterize it as facilitation of world-class organizational systems within an industry-leading milieu. If you want people to become social work students and then to graduate and become dues-paying members of your social work association, that is, you impress upon them the solemn significance of such affiliations.","schools of social work and associations of social workers have a vested interest in making social work sound grand and glorious let me put it this way if you want to get your janitors excited about their job and if you want to inveigle",45,"others","others",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"707","In addition to the Starbucks vandalism, a group of about 150 were seen tipping garbage cans and spray-painting anarchist symbols on storefronts, sources said.","in addition to the starbucks vandalism a group of about were seen tipping garbage cans and spraypainting",18,"anarchist","certainly","garage","spraypainting",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"708","Joseph was faced with choosing a door towards his own escape or trusting God to offer a door and path beyond his own initial understanding. What questions and answers did he face from the public? What possible answers did he seek from God, and more importantly, Mary? I imagine Joseph’s initial thoughts and approach to solving this for himself would be no different than our own approach today. Perhaps, Joseph sought quiet solitude as well as experienced feelings of confusion and anger? What would be your self dialogue? Who would you talk to about such a dilemma? Eventually Joseph had his questions answered. Text from the book of Matthew brings into account Josephs dream encounter with an Angel of God explaining simply, “Do not be afraid to take Mary as your wife, for she has conceived a son which is from the Holy Spirit.” Could this have been the point where he really questioned his own faith?","joseph was faced with choosing a door towards his own escape or trusting god to offer a door and path beyond his own initial understanding what questions and answers did he face from the public what possible answers did he seek from god and more importantly mary i imagine joseph’s initial thoughts and approach to solving this for himself would be no different",64,"than","things","track","ideas","songs","stores","types","states","people","way","take",0.0199999999967986,FALSE
"709","You do know how to invest in the right place at the right time.","you do know how to invest in the right",10,"place","to","time","thing","place","foot","amount",NA,NA,NA,NA,0.0100000000020373,TRUE
"710","She cloth diapers! Her daughter is in cloth, so of course my son is in cloth with her too!","she",2,"cloth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"711","noticing where there is a need","noticing",2,"where","need","car","effected","recurring",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"712","Time for the Masters picks. Feel free to throw these guys out of your pool because I never pick any winners.","time for the masters picks feel free to throw these guys out of",14,"your","the","my","bed","his","control","your","me","every","order","grand",0.0300000000061118,TRUE
"713","KTLA reported that after buying beer, a pregnant attorney talking to her husband on her celphone, was coming out of Trader Joes, blinded by the rain, and drove her speeding Hummer into the raging LA River and double-drowned.","ktla reported that after buying a pregnant attorney talking",10,"to","now","got","great","hour","dont","whole","tried","experience","every","points",0.0299999999988358,FALSE
"714","BRISTOL: Just don’t do it again.","bristol",2,"just","just","locarno",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"715","If you have questions about assignments or upcoming events. Please ask!","if you have questions about assignments",7,"or","kid","upcoming",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
