"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"200","Use any size cutter you want, but make sure to pack them in your pan tightly and let them rise a long time, until they are doubled. I let mine rise for hours in an oven that I preheated to 250 F and then shut off. These biscuits are not quick to make, for sure! Howeverm the dough can be made a head and refrigerated for up to a week for even better flavor.","use any size cutter you want but make sure to pack them in your pan tightly and let them rise a long time until they are doubled i let mine rise for hours in an oven that i preheated to f and then shut off these biscuits",48,"are","are","3","biscuits","31B","these","42F","not","2","these","32C","quick","2","like","21","people","21","two","21","just","21",0.25,TRUE
"201","The Road To Domestos","the road",3,"to","went","3","tracks","3","domestos","3","to","3","that","3","light","2","went","2","anyway","2","domestos","2","and","2",0.069999999992433,TRUE
"202","Is for you to shut the fuck up.","is for you to shut the",7,"up","fuck","5","the","51D","up","4","fuck","41A","fuck","41B","shut","52J","fuck","41C","up","3","the","42C","the","42E",0.5,TRUE
"203","22) I tend to be either incredibly cautious or stupidly rash. If it's something physical, I'm always incredibly cautious. Erm, unless it's sex.","i tend to be either incredibly cautious or stupidly rash if its something physical im always incredibly cautious",19,"erm","incredibly","32C","stupidly","2","unless","2","cautious","21","erm","2","corrupt","21",NA,NA,NA,NA,NA,NA,NA,NA,0.180000000007567,TRUE
"204","What was your favorite part about it (buildings, shopping, etc.)","what was your favorite part",6,"about","about","3","things","31B","part","31B","baby","32C","favorite","32C","the","2","as","21","you","21","about","21","things","21",0.159999999988941,TRUE
"205","I finished the whole costume by putting on more clay divets.","i finished the whole costume by putting on more clay",11,"divets","divets","4","divets","3","clay","41C","divets","2","divets","31A","more","42F","divets","31B","clay","32B","clay","32C","clay","31B",0.340000000011059,TRUE
"206","‘Oh, I don’t mind,’ she said. ‘I’m in no hurry. I’m on my way to a hospice.’","‘oh i don’t mind’ she said ‘i’m in no",10,"hurry","wonder","3","the","32B","hurry","3","how","2","no","2","we","2","like","2","will","2","thing","2","good","2",0.220000000001164,TRUE
"207","long, marvelous eyelash.","long",2,"marvelous","time","2","see","2","days","2","care","2","thats","2","back","2","battle","2","trucker","2","silver","2","blades","2",0,FALSE
"208","As I walk with you I'm learning","as i",3,"walk","was","3","now","3","time","3","getting","3","working","3","ive","3","left","3","bravely","3","normally","3","enjoying","3",0.069999999992433,FALSE
"209","Cass County, Michigan (population 52,293): Cass County commissioners Thursday night accepted Administrator Charles H. Cleaver’s resignation “with regret,” according to the Niles Daily Star. Cleaver, who started in March 2011 as the county’s third administrator, on Valentine’s Day sent his resignation to Chair Minnie Warren.","cass county michigan population cass county",7,"commissioners","michigan","3","the","2","county","21","council","2","commissioners","2","michigan","2","michigan","21",NA,NA,NA,NA,NA,NA,0.169999999998254,TRUE
"210","Writers worry a lot about theft and plagiarism. They really don't need to; theft of unpublished work is so rare as to be functionally nonexistent. It's not till your work is published--i.e., exposed to a wide audience--that the issue of plagiarism comes into play.","writers worry a lot about theft and plagiarism they really dont need to theft of unpublished work is so rare as to be functionally nonexistent its not till your work is publishedie exposed to a wide audiencethat the",39,"issue","first","31A","issue","21","of","32C","time","32A","bride","32A","larger","32A","shot","32C","audiencethat","32C","catholic","2","york","2",0.220000000001164,TRUE
"211","Consider One-Way Tickets","consider",2,"oneway","oneway","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"212","And this is what I did yesterday afternoon. I got a TV app for the laptop so I can watch football (soccer) outside now!","and this is",4,"what","i","4","what","4","time","31B","country","31B","someone","31B","ribbon","31B","not","31B","what","31B","corner","3","every","3",0.150000000008731,TRUE
"213","I got a bit carried away and assumed that a couple of good performances in the Carling Cup augured a fine career. I mean, if that was how well they could play on their debuts then they could only improve from there, right?","i got a bit carried away and assumed that a couple of good performances in the carling cup",19,"augured","augured","3","cup","41C","finals","31A","cup","31B","cup","32B","augured","21","cup","21","dvd","2","of","2","tea","2",0.25,TRUE
"214","With a career total of more than 100 films, Bette changed the way Hollywood looked at actresses. In 1977, she was the first woman to be honored with the American Film Institute's Lifetime Achievement Award. She was also the first woman to be president of the Motion Picture Academy of Arts and Sciences. At the age of 75, Bette had a mastectomy due to breast cancer. Nine days later, she suffered a stroke. Despite her failing health, she continued to act until her death. Bette passed away October 6, 1989 in Neuilly-sur-Seine, France.","with a career total of more than films bette changed the way hollywood looked at actresses in she was the first woman to be honored with the american film institutes lifetime achievement award she was also the first woman to be president of the motion picture academy of arts and sciences at the age of bette had a mastectomy due to cancer",63,"nine","once","3","to","42F","to","32C","cancer","31B","nature","31B","days","2","is","2","and","2","but","2","important","2",0.219999999986612,FALSE
"215","Im lame but I dont read often!! hah if I could chose one book it would be twilight, the last book, because it is really the only book I can remember reading in the past few years.","im lame",3,"but","i","3","but","3","probably","2","i","2","dont","2","sure","21","going","21","getting","21","one","21","something","21",0.0700000000069849,TRUE
"216","Let's go where they keep on wearin'","lets go where they keep",6,"on","on","4","keep","41C","wearin","3","on","31A","they","42F","keep","32B","on","3","keep","32C","no","31B","on","31B",0.259999999994761,TRUE
"217","I heard SH coming down the stairs. ""Hey!"" he said. ""You didn't do the dishes!""","i heard sh coming",5,"down","down","4","coming","41C","the","3","down","31A","down","31B","back","32A","coming","32B","down","3","down","21","coming","31B",0.25,TRUE
"218","Start Proclaiming Life and Power!","start proclaiming life and",5,"power","and","31B","left","3","this","3","power","3","features","3","during","3","your","3","insurance","21","now","21","also","21",0.130000000004657,TRUE
"219","Nmachi’s, which means “beauty of God” in Nigerian, joins sisters Chisom, four, and Dunebi, two.","nmachi’s which means “beauty",5,"of","been","31B","its","31B","back","21","tensions","21","been","21","it","21","who","21","takes","21","pushing","21","number","21",0.0899999999965075,FALSE
"220","Ever wonder about what went on or even goes on today behind those mysterious walls at the Brooklyn Navy Yard? You can take a bus tour of the Navy Yard at 1:30 p.m. on June 21 with hop off stops along the way that provide an overview of the fascinating stories of the Navy Yard’s past, present, and future.","ever wonder about what went on",7,"or","even","4","on","41C","or","31A","or","31B","on","32B","even","3","that","3","or","4","this","32A","on","31B",0.340000000011059,TRUE
"221","MEA CULPA follows one angels quest to save his best friend.","mea culpa follows one angels quest to save his",10,"best","best","4","his","41C","friend","3","save","42F","his","32B","best","3","world","31B","best","31B","his","32C","the","31B",0.319999999992433,TRUE
"222","So I've made the move across the country - I actually made the move in June, but I wouldn't say that I've really settled in until now. I've got a job, I just moved into a new apartment in Portland, and I really feel like I'm beginning my life out here.","so ive made the move across the country i actually made the move in june but i wouldnt say that ive really settled in until",26,"now","now","4","ive","3","now","31A","truth","32B","in","32C","now","3","now","31B","my","31B","memphis","31B","until","31B",0.289999999993597,TRUE
"223","And finally... There's this brand new thing around! You most probably have never heard of this since it's only 2 days old and was completely unheard of before since it didn't exist until 2 days ago... It's called the ""Instagram""... Yep! Just came out a few days ago and it's pretty cool! And well if you're down with brand new tech-shit that didn't exist before 2 days ago and have A) an awesome deal on your phone data plan, B) a battery that lasts forever and C) nothing better to do... Go check it out it's pretty cool and I'm on it... Until I get sick of it in the not so distant future!!","and finally theres this brand new thing around you most probably have never heard of this since its only days old and was completely unheard of before since it didnt exist until days ago its called the instagram yep just came out a few days ago and its pretty cool and well if youre down with brand new tech that didnt exist before days ago and have",68,"a","a","5","an","4","a","41A","a","41B","a","31A","to","42A","and","42F","a","41C","fallen","32A","a","4",0.410000000003492,TRUE
"224","Families often ask me how i can get their child to do something they can't.. well i have limited emotional investment ( not MY child) and i listen and observe the behavior so i understand the communication. If you react rather than respond you are liable to misunderstand and the behavior continues. We need to be the problem solvers we want our children to grow up to be. They need to test the rules, we need to set them. It is our job as parents to be completely present all the time, ( which is not always doable). It is necessary to be all Parent and only some person when the children are under 5. I tell parents that there is a big P and a little t in parent... we must embrace that big P in order for the adult child to walk away from us at 18 or 20 and be independent and ultimately successful.","families often ask me how i can get their child to do something they cant well i have limited emotional investment not my child and i",27,"listen","listen","4","i","51D","i","41C","i","42C","i","42E","i","42F","listen","31B","listen","31A","am","31A","i","32C",0.370000000009895,TRUE
"225","And if you missed LM's previous planning posts on CB, you can catch up right here:","and if you missed lms",6,"previous","previous","3","lms","41C","previous","2","lms","31B","in","42F","lms","32B","previous","21","lms","21","woods","42F","missed","42F",0.219999999986612,TRUE
"226","However, they have a new EP coming out in a month and a bit with a song on it called The Wrong Car. I think they may have finally made a song I'm going to love more than Cold Days From The Birdhouse. I've had it on repeat since I first heard it last week - it's that good.","however they have a new ep coming out in a month and a bit with a song on it called the wrong car i think they may have finally made a song im going to love more than cold days from the birdhouse ive had it on repeat since i first heard",53,"it","it","4","heard","41C","last","3","first","42F","heard","32B","it","3","across","31B","it","31B","people","31A","coming","31A",0.280000000013388,TRUE
"227","The year before last, for example, I took advantage of the economy direct flights to Pisa and took an apartment in the centre of Lucca, a short train ride away. Last year, I flew to Rome, and after spending a couple of days there, took the train up to the Tuscany/Umbria border, where I collected a car to drive the short distance to my rented apartment in a village near Lake Trasimeno.","the year before last for example i took advantage of the economy direct flights to pisa and took an apartment in the centre of lucca a short train ride away last year i flew to rome and after spending a",41,"couple","a","41C","of","3","a","31B","a","32B","couple","3","a","32C","with","21","cab","31A","busy","31A","court","31A",0.269999999989523,TRUE
"228","I'll tell you about this in a later blog, it gets worse. For now all I'll say is be prepared to rough it as a runner.","ill tell you about this",6,"in","a","4","this","41C","about","42F","the","31A","in","31A","in","4","in","31B","into","31B","year","3","a","3",0.279999999998836,TRUE
"229","Hyun Suk confronts M2 with the video. They all wonder how it got there and Hyun Suk asks if they’re the ones in the video. Jae Ha is about to stand but Seung Yeon stops him. Team Leader Han takes them to task and Hyun Sung speaks up-it was them. Chang Min tells him to be specific-as in who was and who wasn’t there. Hyun Suk is shrewd and asks Chang Min what he wants to say but Jae Ha speaks up, wanting to take responsibility. Chang Min scoffs at him and Hyun Suk sees it. The team sits outside later-minus Jae Ha wondering who took the video and Tae Gun rightly points out-anyone could’ve taken the movie but not everyone could have delivered it to Hyun Suk with a look at Chang Min. Chang Min owns up to it. They wonder how he could betray the team and if he had that little confidence in himself. Chang Min scoffs, at least he’s not lying like someone else, with a look at Seung Yeon! In Hyun Suk’s office, Hyun Suk asks to hear the reason Jae Ha went on stage without the company’s permission. Did he go to earn money or he wanted to show the world his talent? Jae Ha tells them he needed the money so he took the gig and everyone just helped him. Hyun Suk asks, is it for the same reason you go out with your guitar every night? Team Leader Han is stunned. Jae Ha has a part time gig and Hyun Suk knew it? At Jae Ha’s response, Hyun Suk smiles and tells him it’s good he’s honest and confident. Meanwhile, Woo Hyun is on his way back to the company from the airport. Everyone’s still pissed at Jae Ha who comes back and tells them it’ll be fine, he’ll take the blame. Seung Yeon tells Chang Min he shouldn’t have betrayed the team like this and he rounds back at her, however anyone else says things, she has no right to condemn him. He asks her if she thinks she has the right to be on the team and turns to Ji Woo too who tries to defend Seung Yeon. Before a fight breaks out, Team Leader Han walks in.","hyun suk confronts m with the video they all wonder how it got there and hyun suk asks if they’re the ones in the video jae ha is about to stand but seung yeon stops him team leader han takes them to task and hyun sung speaks upit was them chang min tells him to be specificas in who was and who wasn’t there hyun suk is shrewd and asks chang min what he wants to say but jae ha speaks up wanting to take responsibility chang min scoffs at him and hyun suk sees it the team sits outside laterminus jae ha wondering who took the video and tae gun rightly points outanyone could’ve taken the movie but not everyone could have delivered it to hyun suk with a look at chang min chang min owns up to it they wonder how he could betray the team and if he had that little confidence in himself chang min scoffs at least he’s not lying like someone else with a look at seung yeon in hyun suk’s office hyun suk asks to hear the reason jae ha went on stage without the company’s permission did he go to earn money or he wanted to show the world his talent jae ha tells them he needed the money so he took the gig and everyone just helped him hyun suk asks is it for the same reason you go out with your guitar every night team leader han is stunned jae ha has a part time gig and hyun suk knew it at jae ha’s response hyun suk smiles and tells him it’s good he’s honest and confident meanwhile woo hyun is on his way back to the company from the airport everyone’s still at jae ha who comes back and tells them it’ll be fine he’ll take the blame seung yeon tells chang min he shouldn’t have betrayed the team like this and he rounds back at her however anyone else says things she has no right to condemn him he asks her if she thinks she has the right to be on",354,"the","the","5","team","4","the","41A","the","41B","be","52J","the","41C","a","51D","on","51D","on","42E","team","3",0.410000000003492,TRUE
"230","16And said to the mountains and rocks, Fall on us, and hide us from the face of him that sitteth on the throne, and from the wrath of the Lamb:","and said to the mountains and rocks fall on us and hide us from the face of him",19,"that","that","5","that","4","him","51D","that","41A","that","41B","of","52J","him","42C","him","42E","him","42F","the","41C",0.430000000007567,TRUE
"231","Most Likely to Make a Grown Man Cry: Where She Went by Gayle Forman","most likely to make a grown man",8,"cry","cry","5","cry","4","man","51D","cry","41A","cry","41B","cry","41C","where","3","man","42C","man","42E","cry","31B",0.459999999991851,TRUE
"232","Reasonable goals. Reasonable goals.","reasonable goals",3,"reasonable","goals","21","workout","2","include","2","reasonable","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000093132,TRUE
"233","You think you've seen all the yanks have to offer the world? Gangsta rap, almost naked skanks with lack luster singing voices, chemical soup that is passes of as food? How about unsustainable debt or ""corruption free"" finance built on mortgage backed derivatives backed by liar loans? Endless war in the name of democracy and in the cause of Islamic Jihad?","you think youve seen all the yanks have to offer the world gangsta rap almost skanks with lack luster singing voices chemical soup that is passes of as food how about unsustainable debt or corruption free finance built on mortgage backed derivatives backed by liar loans endless war in the name of democracy",54,"and","the","51D","of","52J","in","3","the","42C","research","41C","the","41C","in","2","the","42F","not","31B","of","42F",0.329999999987194,FALSE
"234","Such is the confidence of Dojo Cuts with this material that they cover the recently departed Etta James’ 1968 soul anthem ‘I’d Rather Go Blind’ – and carry it off perfectly, with Ray delivering all the soul-preaching and testifying it needs. No mean feat.","such is the confidence of dojo cuts with this material that they cover the",15,"recently","the","41C","the","31B","red","3","of","3","life","31A","big","31A","the","32B","logo","3","recently","3","feel","21",0.25,TRUE
"235","I used Papertrey ink cardstock (stamper's select white, classic kraft), stamps (Framed Out #3) and dies (Framed Out #3, alphabet block.) I also used SU! cardstock (island indigo) & My Mind's Eye patterned paper and decorative brads.","i used papertrey ink cardstock stampers select white classic kraft stamps framed out and dies framed out alphabet block i",21,"also","i","41C","used","3","i","31B","i","32B","also","3","i","32C","also","21","as","21","block","32C","later","21",0.279999999998836,TRUE
"236","Hey guys...","hey",2,"guys","said","2","up","2","guys","2","pull","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"237","Today in German-speaking Europe many families set up an Advent wreath, or Adventskranz on the first Advent Sunday (the fourth before Christmas) to start off the Advent season. The picture on the left shows a typical evergreen Advent wreath with its four candles, one for each week of Advent. Traditional families gather around the wreath on each Advent Sunday to light the next candle and sing Christmas carols. This was even more important in the past, when the Christmas tree was usually reserved for a special unveiling only on Christmas Eve. Until then, the Advent wreath provided the evergreen look and aroma in the house.","today in germanspeaking europe many families set up an advent wreath or adventskranz on the first advent sunday the fourth before christmas to start off the advent season the picture on the left shows a typical evergreen advent wreath with its",42,"four","four","4","four","3","four","31A","four","31B","its","31B","with","32C","or","32C","worse","2","cool","2","like","2",0.30000000000291,TRUE
"238","I then sat down with the uber-bloggers and the beauty reps. commenced telling us about their products, encouraging me to massage them into my face. I have to confess I can’t remember what the products were or what they did because I was too busy sneaking side-ways glances at ‘the Mrs Woog’.","i then",3,"sat","down","3","got","3","sat","3","was","2","will","2","get","2","back","2","told","2","gets","2","moved","2",0.0399999999935972,TRUE
"239","There was no time to dwell on the goal conceded so we quickly took the keys of the game and hoped into the “driver’s seat”.","there was no time to dwell on the goal",10,"conceded","conceded","4","goal","41C","the","52J","so","3","conceded","31A","goal","42E","goal","42F","goal","32B","team","51D","goal","51D",0.420000000012806,TRUE
"240","But I had no interest in reading myself for several years.","but i had no interest in",7,"reading","in","51D","reading","3","in","41C","in","31B","in","42C","in","42E","in","32B","she","42F","in","42F","she","32C",0.299999999988358,TRUE
"241","pecks my cheek","pecks",2,"my","cheek","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"242","Butter- 100 gms","butter",2,"gms","the","2","dish","2","gms","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"243","We crossed the Stari Most to Coppersmiths’ Street (Kujundziluk). Lined with vendors selling souvenirs made by local artists and coppersmiths, many items portrayed the Old Bridge. We visited several of the little shops. One of the coppersmiths we spoke with asked where we were from and then proudly told us he had a daughter who lives in the United States.We bought a few souvenirs for ourselves and family (later, we would see all the same kinds of souvenirs in Istanbul (read about the trip here).","we crossed the stari most to coppersmiths’ street kujundziluk lined with vendors selling souvenirs made by local artists and coppersmiths many items portrayed the old bridge we visited several of the little shops one of the coppersmiths we spoke with asked where we were from and then proudly told us he had a daughter who lives in the united stateswe bought a few souvenirs",65,"for","for","4","for","3","for","31A","few","32C","by","2","made","2","family","2","istanbul","2","the","31B","days","31B",0.260000000009313,TRUE
"244","After having a rough arrival to Melbourne, with housing drama, I was very excited to take a few days from the apartment search and relax in true Aussie fashion on the beach. I made my trek to the university a whopping 9 kilometer walk to campus (just another incentive to find a new place to live). I made some fast friends waiting for the trip leaders to organize the buses and we set off for an adventure on the Great Ocean Road.","after having a rough arrival to melbourne with housing drama i was very excited to take a few days from the apartment search and relax in true aussie fashion on the beach i made my trek to the university a whopping kilometer walk to campus just another incentive to find a new place to live i made some fast friends waiting for the trip leaders to organize the",69,"buses","car","51C","buses","3","the","31B","car","42B","buses","21","organize","32C","us","31A","day","31A","world","31A","time","31A",0.279999999998836,TRUE
"245","That is the crown of it that means those who are thinking that maybe one day I will grow less, they are wasting their time.","that is the crown of it that",8,"means","means","4","that","41C","it","52J","well","51D","that","51D","that","42E","that","42F","that","32B","well","42C","that","42C",0.439999999987776,TRUE
"246","Of course, these were two separate photos--from two different homes. I didn't think I'd ever find a blacktop driveway that led to a brick house--a house with dormers and lots of trees.","of course these were two separate photosfrom two different homes i",12,"didnt","think","3","really","31A","i","31B","didnt","21","didnt","3","asked","32A","would","32A","stores","32C","homes","32C","wait","2",0.25,TRUE
"247","Recent FOIA releases of Barack Obama Sr.’s immigration records disclose that he was not co-habituating with Stanley Ann Dunham after the marriage and birth of Obama. In fact, the U.S. Immigration Department had been investigating if the Obama-Dunham marriage was “bona fide.”[30]","recent foia releases of barack obama sr’s immigration records disclose that he was not cohabituating with stanley ann dunham",20,"after","the","3","dunham","31B","the","2","ann","32C","after","3","marriage","2","exteacher","21","after","21","dunham","21",NA,NA,0.220000000001164,TRUE
"248","A3) Ricky Tuffy - Nuclear War","a ricky",3,"tuffy","tuffy","3","nuclear","2","tuffy","2","days","21","hours","21","minutes","21","back","21","nice","21","day","21","like","21",0.0900000000110595,TRUE
"249","Lewis Schaffer – Different Shit, Same Suit Mike Belgrave","lewis schaffer – different",5,"same","stores","2","one","2","really","2","of","2","the","2","a","2","same","2","i","2","what","2","or","2",0.069999999992433,TRUE
"250","I’d be surprised if nobody’s thought of this before.","i’d be surprised if nobody’s thought of this",9,"before","was","31A","this","31B","one","3","great","3","ever","3","moral","3","the","3","its","3","up","3","has","3",0.180000000007567,FALSE
"251","Recommended for fans of mismatched romantic leads and shows that bridge the gap between The X-files and Moonlighting.","recommended for fans of mismatched",6,"romantic","romantic","2","mismatched","31B","of","32C","us","32B","cat","32B","the","32B","my","32B","these","32B","all","32B","roman","21",0.189999999987776,TRUE
"252","But any book or series that gets them to read is top notch on my eyes so when we heard there was a movie coming out I pledged to take them on opening night.","but any",3,"book","or","3","book","3","occasion","3","i","2","way","2","though","2","life","2","cause","2","good","2","point","2",0.0800000000017462,TRUE
"253","Sudanese President Omar al-Bashir on Monday celebrated the ” liberation” of Heglig with thousands of Sudanese fighters who fought for 10 days to restore the strategic area with Sudan’s biggest oil fields.","sudanese president omar albashir on monday celebrated the ” liberation” of",12,"heglig","school","32A","now","32A","another","32A","god","32A","thing","32A","may","32A","swindon","32A","one","32A","research","32A","books","32A",0.190000000002328,FALSE
"254","~The first day of summer break for the kids is a learning curve for all of us. Why? They have to re-learn how to be around each other all day long and I have to re-learn how to go about my daily routine while ignoring the petty disagreements and little tantrums coming from the family room.","the",2,"first","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2","tooth","2","upstairs","2","states","2","during","2",0.0100000000093132,FALSE
"255","Pecans (or almonds, walnuts, etc)","pecans or",3,"almonds","almonds","3","almonds","21","least","2","like","2","year","2","time","2","ago","2","life","2","else","2","say","2",0.0800000000017462,TRUE
"256","We used to say that we would struggle, fight, and wage Jihad, until we regain our rights, because what was taken by force will only be restored by force, and what was taken by the sword will not be restored by the pen or the word. Unfortunately, however, we have abandoned this, and we have taken the path of the so-called “peaceful solution.” We have made one concession after another.","we used",3,"to","say","3","to","3","an","2","now","2","make","2","say","2","many","2","tad","2","ill","2","words","2",0.0599999999976717,TRUE
"257","On the way home from our favourite farm on Tuesday we stopped off for a wander around a small town. In a shop window were a row of Queenie's, all slowly waving with glazed expressions. Being suckers for plastic stuff that does nothing more than make us laugh meant we needed one so we rushed in to bag our own Queenie. Now she sits on our windowsill watching and waving while we do kitchen stuff. Our favourite plastic friend was a chubby grinning chinese boy who sat astride a pink dolphin and spun from the ceiling playing plinky music. He fell to pieces a long while back now and I still miss him.","on the way home from our favourite farm on tuesday we stopped off for a wander around a small town in a shop window were a row of queenies all slowly waving with glazed expressions being suckers for plastic stuff that does nothing more than make us laugh meant we needed one so we rushed in to bag our own queenie now she",64,"sits","sits","4","she","41C","on","3","sits","31A","now","42F","sits","31B","she","32B","sits","3","she","32C","she","31B",0.279999999998836,TRUE
"258","If something like this has happened to you, please don't try to bury it as long as I did. I spent so much time and energy keeping my secret that it blew up in my face and it almost killed me.","if something like this has happened to you please dont try",12,"to","to","4","try","41C","bury","3","to","31A","dont","42F","to","31B","to","3","to","32A","try","32C","try","31B",0.279999999998836,TRUE
"259","So onto our Spotlight this week, we loved visiting your blogs to see your weather themed creations. This week the spotlight has fallen on.....Lisa C with this beautiful creation!","so onto our spotlight this week we loved visiting your blogs to see your weather themed creations this week the spotlight has fallen onlisa c with this",28,"beautiful","this","41C","this","31B","with","42F","this","32B","school","3","and","3","this","32C","old","3","beautiful","3","material","3",0.309999999997672,TRUE
"260","Of course, if they were forced to read ""Guns, Germs, and Steel,"" there would be a hell of a lot more suicide bombers than there are now. Jeez, that book did go on. I thought a better name for it would have been ""Location, Location, Location: and what they ate while they were there,"" but I guess that title is not as catchy. There were not enough guns or germs, and steel barely got a mention. What did get mentioned, repeatedly, was the phrase ""food production,"" approximately 1,296,379 times. McDonald's does not talk about food production that much, for Christ's sake. Then again, McDonald's doesn't serve food, so maybe that's why.","of course if they were forced to read guns germs and steel there would be a of a lot more suicide bombers than there are now jeez that book did go on i thought a better name for it would have been location location location and what they ate while they were there but i guess that title is not as catchy there were not enough guns or germs and steel barely got a mention what did get mentioned repeatedly was the phrase",84,"food","food","4","food","3","food","31A","the","32C","them","2","food","2","moticos","2","woman","31B","first","31B","food","31B",0.230000000010477,TRUE
"261","On May 23, 2012, let Alleigh know your wine choice by:","on may let alleigh know your wine choice",9,"by","by","4","by","3","by","31A","by","31B","choice","31B","library","32C","wine","32C","start","2","the","2","was","2",0.209999999991851,TRUE
"262","And we know what happened when we did that.","and we know what",5,"happened","what","41C","think","3","next","3","basis","3","to","3","that","32B","thats","31B","wanted","31B","thoughts","31B","be","31B",0.19999999999709,FALSE
"263","Both babies measured great - he's 1lb, 2oz and she's 15.9oz, which puts them right about at the 50th percentile. They had good fluid levels, solid heartbeats, and my bleed has officially absorbed!! YAHOOOO!!! I go back in 4 weeks and we'll tour the maternity ward and NICU then. I was so overwhelmed with joy that they looked so awesome! My mom came with me to the u/s and she loved every minute of it - it truly is so special to see them.","both babies measured great hes lb oz and shes oz which puts them right about at the th percentile they",21,"had","had","3","they","31B","percentile","42F","had","21","good","21","have","32A","all","32A","own","32A","job","32C","i","32C",0.270000000004075,TRUE
"264","And if only the add venture habs juss stopped there, but no...","and if only the add venture habs",8,"juss","juss","3","habs","41C","habs","31B","venture","42F","stopped","2","habs","32B","juss","2","habs","32C","juss","21","habs","21",0.25,TRUE
"265","I know from my own experience that my horse (who currently schools Fourth Level and some of the Prix St. George) cannot school in the arena more than three days per week. (And he’ll tell you if you ask!) So to keep him fresh, interested, and fit, we spend the three days hacking out, doing trot and canter sets in the lanes, or long-lining, another three days doing a more traditional schooling routine, and then he gets one day off per week. And I generally find that I get my best, show-quality work from him on the day after he’s either rested or hacked – particularly if we struggled with a problem or issue in our last training session prior to the rest day. It’s like the time away has shown him what he needs to do to get it right (and me too!), so with a little bit of cogitation and fresh muscles, it’s all right there.","i know from my own experience that my horse who currently schools fourth level and some of the prix st george cannot school in the arena more than three days per week and he’ll tell you if you ask so to keep him fresh",45,"interested","fresh","51D","interested","3","fresh","41C","him","52J","fresh","31B","fresh","42C","fresh","42E","fresh","42F","him","42F","fresh","2",0.339999999996508,TRUE
"266","Article 8 does not always work though. A paedophile illegal immigrant, Zulfar Hussain, has finally been thrown out of Britain after a long court battle in which he claimed that his deportation would breach his human rights. This is good news, but Hussain represents only a drop in the multicultural ocean and cost the taxpayer over £100,000 in his welfare funded legal battle to remain in Blackburn, Lancashire.","article does not always work though a paedophile illegal immigrant zulfar",12,"hussain","has","2","hussain","2","it","21","labor","21","zulfar","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169999999998254,TRUE
"267","So our unique perceptions of the world we experienced together were destined to be endlessly different, destined to be unrelated. And no matter what I said to her, she would never understand that what I write on these pages, when I say that I have no home and that I am endlessly tormented by the constant need to leave everything behind and travel, to give up the entire world I’ve created and move on to something new, that this isn’t in any way a sad thing in my eyes.","so our unique perceptions of the world we experienced together were destined to be endlessly different destined to be unrelated and no matter what i said to her she would never understand that what i write on these pages when i say that i have no home and that i am endlessly tormented by the constant need to leave everything behind and travel to give up the entire world i’ve created and move on to something",77,"new","new","4","the","51D","something","41C","new","31A","the","42C","to","42F","with","3","they","3","something","32C","new","3",0.380000000004657,TRUE
"268","That very question has been banded about since the dotcom bust – even today there continue to be many brands with little more than a landing page for a website, let alone fully-fledged e-commerce capability.","that very question has been banded about since the dotcom bust – even today there continue to be many brands with little",23,"more","little","31B","with","42F","bit","3","more","3","with","32C","white","3","bit","2","bits","2","like","2","right","2",0.25,TRUE
"269","“You should open your eyes!”","“you should open",4,"your","your","3","love","2","beer","2","parties","2","door","2","receive","2","forthright","2","pack","2","as","2","and","2",0.0599999999976717,TRUE
"270","End of November. End of Solo Tabletop Gaming Appreciation Month.","end of november end of",6,"solo","solo","4","of","41C","solo","31A","solo","31B","of","32B","end","42F","id","42F","of","31B","the","32A","email","32C",0.330000000001746,TRUE
"271","“She loves it. She has a love/hate relationship with spaghetti. But like most of us, she gives in to her heart and indulges, in spite of the bunching and bloating.”","“she loves it she has a lovehate relationship with spaghetti but like most of us she gives in to her heart",22,"and","and","5","and","4","and","41A","and","41B","her","52J","and","41C","and","31A","her","42F","doing","3","about","32A",0.419999999998254,TRUE
"272","That is such a sweet project from Kathrin, I do love to see things other than a card, you have all the supplies so why not try something different for a change.","that is such a sweet",6,"project","project","4","sweet","51D","sweet","41C","from","3","project","31A","sweet","42C","sweet","42F","big","42E","sweet","42E","thing","51D",0.30000000000291,TRUE
