"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"468","Looking at them. Through them. Through you. Big honey eyes mixing in a kaleidoscope of grey and green. You run. He runs. And you know he is right behind you, which feels like the greatest thing on earth.","looking at them through them through you big honey eyes mixing in a kaleidoscope of grey and green you run he runs and you",25,"know","know","5","you","51D","he","4","know","41A",0.930000000000291,TRUE
"469","Now for some background on the name Aurora. I have always adored the name since learning that Aurore (Dupin) was the name of Chopin’s one and (possibly only) true love.","now for some background on the name aurora i have always adored the name since",16,"learning","learning","3","name","32C","the","31B","of","31B",0.480000000003201,TRUE
"470","Milky Way - beige (taken from the music paper background) - 240.224.200","milky way beige taken from",6,"the","the","4","from","41C","the","31A","the","31B",0.629999999997381,TRUE
"471","Jerrell Harris, Atlanta Falcons","jerrell",2,"harris","harris","2",NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"472","But we know how this ends, right? Of course we do.","but we know how this ends right of",9,"course","course","4","of","41C","course","31A","right","42F",0.639999999999418,TRUE
"473","While I was on the search for an agent, one of the things I found most fascinating were “agent stories”. I wanted to know the tricks and secrets, maybe glean a little from those who had jumped from the boat of the agentless to the boat where every sentence begins with, “My agent said…”","while i was on the search for an",9,"agent","agent","4","an","51D","an","41C","agent","31A",0.830000000001746,TRUE
"474","-John Waters","john",2,"waters","barricelli","2","who","2","as","2","at","2",0.0599999999976717,FALSE
"475","to display in your post or on your blog so others can join in the fun as well!","to display in your post or on your",9,"blog","blog","5","your","51D","so","4","blog","41A",1.04000000000087,TRUE
"476","Coming to Christ is denying ourselves and our will as our will is connected to our flesh as we were once slaves to. Christ is our master and Lord, our will now revolves around him. Matthew 6:33 But (A)seek first (B)the kingdom of God and his righteousness, (C)and all these things will be added to you. God instructs us to seek after Him alone and let tomorrow worry for itself as this goes against our very will. In hindsight, Jesus could be calling us to faith, trust,hope and love in him as it would take faith to cast away our worries for ourselves, endure the backlash from the world for doing what Christ says and to follow a God that the world hates.","coming to christ is denying ourselves and our will as our will is connected to our flesh as we were once slaves to christ is our master and lord our will now revolves around",35,"him","him","3","around","31B","revolves","32C","him","21",0.489999999997963,TRUE
"477","- Article XX of the Association Agreement has become Article 55(3)(c)","article xx of the association",6,"agreement","the","42F","the","32C","is","2","like","2",0.360000000000582,FALSE
"478","“I heard that, Mel.” Betty said in pretended annoyance as she came back in the room. “There he goes again,” she continued, talking to me now, “He always likes to pretend like he’s all high and mighty, but inside all that toughness, he’s just a big baby.”","“i heard that mel” betty said in pretended annoyance as she came back in the room “there he goes again” she continued talking to me now “he always likes to pretend like he’s all high and mighty but inside all",41,"that","that","4","that","3","that","31B","inside","32C",0.470000000001164,TRUE
"479","I wanted gold-colored handles to tie in with the cabinet handles and the general color scheme of the room. I was debating between drop pulls and ring pulls and decided to go with ring pulls in the end, although I think either would have looked nice. I found some nice round brass ring pulls from Lee Valley.","i wanted goldcolored handles to tie in with the cabinet handles and the general color scheme of the room i was debating between drop pulls and ring pulls and decided to go with ring pulls in the end although i think either would have looked nice i found some nice round brass ring pulls from lee",57,"valley","valley","3","lee","41C","lee","31B","lee","32B",0.560000000004948,TRUE
"480","I walk through the rooms and halls and remember. Or try to remember. The kidadults are upset. This is their childhood home. This is our past. Our history. Their height markers are still on the doorjambs of their bedroom closet doors. How tall they have become. How small they once were.","i walk through the rooms and halls and remember or try to remember the kidadults are upset this is their childhood home this is our past our history their height markers are still on the doorjambs of their bedroom closet doors how tall they have become",47,"how","how","4","how","31A","have","42F","how","3",0.619999999995343,TRUE
"481","I, like most Americans who’ve taken time to listen to the choruses of unending diatribe coming from these people, notice that it’s remarkably the same screed coming from group to group, wherever these people congregate… if it can be called a message. It’s actually more of a melange of regurgitated Marxist claptrap. Right from the mouths of leftist agitators, college and university professors, even high school and grade school teachers. This is what our billions and billions of education dollars purchased.","i like most americans who’ve taken time to listen to the choruses of unending diatribe coming from these people notice that",22,"it’s","are","3","that","31B","you","31A","they","3",0.470000000001164,FALSE
"482","They cite example of farmers, like Papamma, who have already started a second green revolution. Her house is full of vegetation. Not an inch of waste land around Papamma�s house or farm can be spotted. �Do you see the black sprinkles on the leaves and the beans? That is cow dung water I sprinkled to avoid pests,� says the 60-year-old Papamma who lives in D. Kurubarahalli, a remote village in Kolar, nearly 90 KM from Bangalore.","they cite example of farmers like papamma who have already started a second green revolution her",17,"house","house","3","her","31B","a","21","has","21",0.459999999999127,TRUE
"483","Well, and I admitted to have left matches in one of the bags and they wanted me to take them out. Since they might explode, I guess. They also asked me to remove the disconnected battery, which I did assuming I would have to get a replacement in the USA (annoying, but it wasn’t like I could ride away), but instead it was taped inside a box and strapped to the seat, with bungie cords. Not really sure what that was supposed to accomplish, other than making it more likely to spill.","well and i admitted to have left matches in one of the bags and they wanted me to take them out since they might explode i guess they also asked me to remove the disconnected battery which i did assuming i would have to get a replacement in the usa annoying but it wasn’t like i",57,"could","to","3","been","3","i","3","am","3",0.450000000004366,FALSE
"484","Answer: well, you need your own territory. Please don’t try to take over mine. OK, back to same-sex marriage in the good ol’, culturally diverse and diverging, USA:","answer well you need your own territory please don’t try to take over mine ok back to samesex marriage in the good",23,"ol’","good","41C","way","31A","good","32B","room","31A",0.519999999996799,FALSE
"485","Lets look at this time last year: Alicia packed up Peter and forcibly moved him to a new apartment, then got in a hotel elevator with Will on the way to open the doors on their long-thwarted passion. Now that’s the kind of cliffhanger that has you marking the days until the show returns in the fall.","lets look at this time last year alicia packed up peter and forcibly moved him to a new apartment then got in a hotel elevator with will on the way to open the doors on their longthwarted passion now that’s the kind of cliffhanger that has you marking the days until the show",54,"returns","show","41C","the","42F","show","32B","show","32C",0.529999999998836,FALSE
"486","Here then is a revised 24 card deck (normally 22 cards) that I put together for possible future use with low level characters. Read it over and see what you think. Please be sure to leave your suggestions in the comments for other cards you think would also fit into the deck. Maybe we can get the total cards up to 30.","here then is a revised card deck normally cards that i put together for possible future",17,"use","use","3","future","31B","they","31A","years","32C",0.569999999999709,TRUE
"487","Brazilian Portuguese, and","brazilian portuguese",3,"and","portuguese","21",NA,NA,NA,NA,NA,NA,0.069999999999709,FALSE
"488","This is all about what I choose to make – as I said prophetically in my first post, “I’m not so well known and in demand, that I can just make what I like and sell it – I will have to have an eye on what my public will like, and what they would be prepared to pay”","this is all about what i choose to make – as i said prophetically in my first post “i’m not so well known and in demand",27,"that","i","4","demand","41C","in","52J","i","3",0.650000000001455,FALSE
"489","The edges were inked with Tumbled Glass and Dusty Concord Distress inks. Ice Stickles in Crystal and Blueberry were used for some sparkle. On the snowflakes, I used Tattered Angels Dazzling Diamonds Glimmer Mist for shine.","the edges were inked with tumbled glass and dusty concord distress inks ice stickles in crystal and",18,"blueberry","love","3","and","31B","crystal","32C","the","21",0.440000000002328,FALSE
"490","AIR HOCKEY + MANY MORE ARCADE GAMES","air hockey",3,"many","more","3","many","3","more","2","he","2",0.189999999995052,TRUE
"491","How many times has that happened to you?","how many times",4,"has","was","4","have","4","have","31A","have","3",0.230000000003201,FALSE
"492","1. Place the spinach, tomato paste, ginger, and garlic in a food processor or blender and blend until smooth.","place the spinach tomato",5,"paste","paste","3","by","31B","paste","2","with","2",0.30000000000291,TRUE
"493","This blog post doesn’t intend to give solutions to these problems but only a roundup of what we obviously have right now. I don’t blame those who go outside the country to work, it’s a solution and they made that decision. I’m just a bit concerned if they are not treated well or have been captives of war.","this blog post doesn’t intend to give solutions to these problems but only a roundup of what we obviously have right now i don’t blame those who go outside the country to work it’s a solution and they made that decision i’m",43,"just","the","31B","in","31B","we","32C","up","32C",0.389999999999418,FALSE
"494","Last night she brought her still quite ill husband home from the nursing home he has been convalescing in since his stroke. Even after an intense therapy program, he cannot assist with transfers or bear his own weight.","last night she brought her still quite ill husband home from the nursing home he has been convalescing in since his stroke even after an intense therapy program he",30,"cannot","cannot","3","he","31B","be","21","so","21",0.409999999996217,TRUE
"495","If you are an Elvis fan, I highly recommend this book. And even if you aren’t, but want to know a little bit more about him, this is an excellent read.","if you are an elvis fan i highly recommend this book and even if you aren’t but want to know a little bit more",25,"about","bit","52J","bit","42F","often","41B","humor","41B",0.650000000001455,FALSE
"496","Bake the quiche in a preheated 350 degree oven until it is golden brown on top and the center is no longer liquid. This will take anywhere between 45 minutes to an hour depending on your oven. Just start checking it at 45 minutes. You'll notice as it cooks that it begins to puff up a bit. It will deflate once it comes out of the oven but the ""puff"" is a good way to tell which areas are cooked and which are still liquid.","bake the quiche in a preheated degree oven until it is golden brown on top and the center is no longer liquid this",24,"will","will","3","this","31B","liquid","42F","neither","32A",0.569999999999709,TRUE
"497","Oh - there is also a baking blend. So, if you like to bake, but you're watching your calories, give the Truvia Baking Blend a chance!","oh",2,"there","well","2","the","2","of","2","to","2",0.0299999999988358,FALSE
"498","Two family members recently asked me if I was still alive. They follow this blog to stay updated on my life and apparently the fact that I haven't updated this in a month leads to concern in the family about my well being. So this is just a quick update to say that yes, I'm still alive. Yes, everything is fine. No, I haven't died or fallen off the face of the earth. I've just been really busy.","two family members recently asked me if i was still alive they follow this blog to stay updated on my life and apparently the fact that",27,"i","am","4","the","4","i","4","there","4",0.559999999997672,TRUE
"499","Yep, thats why i put on 3kgs….","yep thats why i put on",7,"kgs�","on","51D","on","41C","put","52J","on","42C",0.840000000003783,FALSE
"500","Unless specifically noted, all papers will be published online.","unless specifically noted all papers",6,"will","be","3","papers","31B","will","3","the","2",0.419999999998254,TRUE
"501","U Roy And The Children - Yama Khy","u roy and the",5,"children","children","4","the","41C","children","31A","children","31B",0.5,TRUE
"502","I recently saw an article on umpteen ways to avoid overwhelm. Just looking at that article made me feel overwhelmed! So, let’s do them one at a time. You can start to move forward today, and feel like you are doing SOMETHING to improve how you feel and where you are. If on the other hand, you are currently doing this practice, you can check it off your mental box, and feel GREAT.","i recently saw an article on umpteen ways to avoid overwhelm just looking at that article made me feel overwhelmed so let’s do them one at a time you can start to",33,"move","move","4","feel","41A","to","41C","start","52J",1.22000000000116,TRUE
"503","In fact, I'm usually just the opposite. I'm high. I'm exhausted and spent. My body is damp and smells bad. But I'm feeling good. Really, really good. Because I'm strong. My muscles have worked hard and done their job. My body has done what it was created to do, and done it in a very efficient way. I'm happy and grateful to be healthy. I'm thrilled to be smelly and tired.","in fact im usually just the opposite im high im exhausted and spent my body is damp and smells bad but im feeling good really really good because im strong my muscles have",34,"worked","worked","3","had","31A","have","31B","muscles","42F",0.629999999997381,TRUE
"504","The tobacco seeds are planted and the girls are still refusing to swarm. I really need to open their hives tomorrow but now that I am behind due to lawn mower issues we will see.","the tobacco seeds are planted and the girls are still refusing to swarm i really need to open their hives tomorrow but",23,"now","but","31B","now","3","this","3","tomorrow","32C",0.5,TRUE
"505","Collin's response was that her GP should have been reported to the General Medical Council and struck off.","collins response was that",5,"her","that","31B","great","31B","was","32C","i","3",0.280000000006112,FALSE
"506","Solidariti Mahasiswa Malaysia (SMM) president Mohd Safwan Anang however remained defiant and said that the students will “hold the place” until the Bersih 3.0 sit down rally tomorrow.","solidariti mahasiswa malaysia smm president mohd safwan",8,"anang","anang","3","however","2","mohd","32C","anang","2",0.419999999998254,TRUE
"507","“What’s t-that, _____?” he questioned.","“what’s tthat ”",4,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"508","the word is soft on the senses","the word is",4,"soft","on","4","on","3","sharp","3","soft","4",0.30000000000291,TRUE
"509","We raced around catching up with long lost friends and going to an engagement party. I took the baby quilt I made last week to give to the parents-to-be and they loved it. I think I may have gained a few orders too.","we raced around catching up with long lost friends and going to an engagement party i took",18,"the","the","4","the","31A","the","31B","i","32C",0.479999999995925,TRUE
"510","I really can't buy this anymore, because I have the tendency to polish off a pint within 48 hours (which is not a good thing...for my ass). But damn, I love it.","i really cant buy this anymore because i have the tendency to polish off a pint within hours which is not a good",24,"thingfor","good","51D","a","52J","and","41B","good","42C",0.930000000000291,FALSE
"511","It's got a nice freshness about it, a good bitterness accompanies a dryness around the front of your mouth.","its got a nice freshness",6,"about","about","3","freshness","41C","good","42F","freshness","32B",0.430000000000291,TRUE
"512","""Just look at the DOW, LPI, and HSV SBZA know the passion to create and build a good all-round performance car.","just look at the",5,"dow","dow","5","dow","41A","dow","41B","lpi","4",0.610000000000582,TRUE
"513","The soundtrack hisses and pops. The dialogue is all dubbed over. The acting is all horribly over-the-top. By all means, this shouldn’t be so effective.","the soundtrack hisses and pops the dialogue is all dubbed",11,"over","over","4","the","3","over","31A","all","42F",0.690000000002328,TRUE
"514","* Dr Rebecca Wong, Senior Lecturer, Nottingham Trent Law School, ;“Data Protection, Privacy and Social Networks”;","dr rebecca wong senior lecturer",6,"nottingham","on","3","nottingham","2","lecturer","31B","senior","32C",0.379999999997381,TRUE
"515","Finally was the Supplication. As I said in the Russian River Rumble, this is my favorite of the available sours and it didn't change after having all five of these. It has an inviting sour cherry nose and the flavors are a nice balance of fruit and sour. Unlike the currants in Consecration, the cherries have a noticeable and delicious presence that I really enjoy. Jo liked this one the most as well and is now asking how much cases cost so that's a huge endorsement.","finally was the",4,"supplication","the","31B","of","3","was","3","that","3",0.19999999999709,FALSE
"516","But just in the last week I’ve come across some great examples that have really stayed with me.","but just in the last week i’ve come",9,"across","so","42F","of","42F","has","42F","or","42F",0.310000000004948,FALSE
"517","As he walked out of the city, Khan, giving a sense of the place, said the once bustling town was “like a graveyard”. The silence was broken only by the “barking of stray dogs and the braying of some donkeys”.","as he walked out of the city khan giving a sense",12,"of","of","4","sense","41C","of","31A","a","42F",0.629999999997381,TRUE
"518","Now I didn’t want the top piece to stay exposed and I didn’t want fabric on the top, because I was afraid it would get dirty and since I would be stapling it on I wouldn’t be able to remove it and wash it.","now i didn’t want the top piece to stay exposed and i didn’t want fabric on the top because i was afraid it",24,"would","would","4","it","41B","get","3","i","41C",0.709999999999127,TRUE
"519","First, let me say that when you are running along side a bike and a Rip Stick, you just naturally run a little faster. So I was feeling pretty good about this little family exercise outing. And then my son challenged me to a race going uphill on his Rip Stick.","first let me say that when you are running along side a bike and a rip stick you just naturally run a little",24,"faster","faster","4","faster","31A","a","42F","of","42A",0.55000000000291,TRUE
"520","Why on earth would they feel the need to show the world they are intellectually challenged on how to do the simple task of pulling up their pants?","why on earth would they feel the need to show the world they are intellectually challenged on",18,"how","to","3","how","3","to","21","how","21",0.409999999996217,TRUE
"521","Because, you know, this lawsuit isn't all she's done. She's also been a hell of a pal to me.","because you know",4,"this","of","31B","to","31B","how","31B","i","3",0.190000000002328,FALSE
"522","What if you could return to the road not taken?","what if you",4,"could","could","4","could","31B","you","31B","are","3",0.230000000003201,TRUE
"523","There's one song that's just been hitting me lately. Love it. Love the sound and absolutely love the words.","theres one song thats just been hitting me lately love it love the",14,"sound","sound","4","the","41C","love","42F","how","31B",0.82999999999447,TRUE
"524","The game show has been a lost art form in Australia having been replaced with oversized scratchies (Deal Or No Deal) or hyperactive nonsense (Millionaire Hotseat) which makes Letters & Numbers appearance all the more enjoyable. While Channel 7 were forcing contestants to catch ping pong balls in a box strapped to their butt SBS were getting back to basics with a local version of the UK’s Countdown. Letters & Numbers isn’t flashy, but it doesn’t have to be; it’s still the best game show on TV.","the game show has been a lost art form in australia having been replaced with oversized scratchies deal or no deal or hyperactive nonsense millionaire hotseat which makes letters numbers appearance all the more enjoyable while channel were forcing contestants to catch ping pong balls in",47,"a","a","5","box","4","a","41A","a","41B",0.690000000002328,TRUE
"525","That record was later broken by it’s sequel, Blues Brothers 2000.","that",2,"record","am","2","havent","2","know","2","best","2",0.0400000000008731,FALSE
"526","2008: Unnamed dkb/br c by Bernardini. Unraced.","unnamed dkbbr c by",5,"bernardini","bernardini","3","by","41C","by","31B","by","32B",0.379999999997381,TRUE
"527","I TAKE IT ALL BACK","i take it all",5,"back","back","5","back","4","back","41B","back","31A",0.580000000001746,TRUE
"528","When it feels like you have it all on the paper, NOT in YOU any longer, walk away. Take a break and let yourSelf Be.","when",2,"it","comes","2","am","2","see","2","first","2",0.0400000000008731,FALSE
"529","DL: Jake Bequette, Arkansas","dl jake",3,"bequette","bequette","3","bequette","2","bequette","21","jake","21",0.159999999996217,TRUE
"530","It’s unsurprising that Gleave is thinking in terms of the long-game, considering it’s taken him eight years to come up, unencumbered by hype, on pop’s inside track. In 2006, the first incarnation of Example emerged – as a semi-novelty, sample-reliant rapper from the mean streets of Fulham (less street, more cul-de-sac) who was the last act signed to Mike Skinner’s ill-fated vanity label, The Beats.","it’s unsurprising that gleave is thinking in terms of the longgame considering it’s taken him eight years to come up unencumbered by hype on pop’s inside track in the first incarnation of example emerged – as a seminovelty samplereliant rapper from the mean streets of",46,"fulham","fulham","3","of","41C","of","31B","the","42D",0.580000000001746,TRUE
"531","Attributes: Agility-d8, Smarts-d6, Spirit-d8, Strength-d6, Vigor-d10","attributes agilityd smartsd spiritd",5,"strengthd","strengthd","2","spiritd","21",NA,NA,NA,NA,0.169999999998254,TRUE
"532","I started by broaching a delicate subject: “I don’t mean to pry, Sandra, but have you or any of your friends recently received an unwelcome letter from a clinic specialising in the treatment of sexually transmitted diseases.”","i started by broaching a delicate subject “i don’t mean to pry sandra but have you or any of your friends recently received an unwelcome letter from",28,"a","clinic","3","bob","32A","letter","32C","a","3",0.410000000003492,TRUE
"533","cannot catch–words, slippery fish thrown out.","cannot catch–words slippery fish",5,"thrown","thrown","3","thrown","21","fish","21","forcing","21",0.219999999993888,TRUE
"534","Monday: Mailbox Monday & What are you reading?","monday mailbox",3,"monday","what","2","monday","2","not","21","are","21",0.0900000000037835,TRUE
"535","None of this should be surprising. In a global marketplace, there is a strong incentive to cut the cost of labor, either by outsourcing production or by insourcing workers. This two-way process will continue until wage rates are more or less the same throughout the world. So it doesn’t matter how low the wages are in labor-importing countries. What matters is whether the wages are even lower in labor-exporting countries. Such is the logic of globalization.","none of this should be surprising in a global marketplace there is a strong incentive to cut the cost of labor either by outsourcing production or by insourcing workers this twoway process will continue until",36,"wage","wage","3","to","31B","until","31B","be","21",0.419999999998254,TRUE
"536","Day 2 we relaxed at home on a rainy day and let the girls watch movies and make cupcakes. We also did a bike riding tour of the Stanford Campus (put on by Jen). The campus is magnificent. I loved all the architecture and green foliage.","day we relaxed at",5,"home","home","4","at","41C","on","3","home","31B",0.440000000002328,TRUE
"537","At least the EDL were prepared to stand up and be counted.","at least the edl were prepared to stand up and",11,"be","be","5","be","4","be","41B","be","41C",0.809999999997672,TRUE
"538","Let in no agony’s thrall","let in no",4,"agony’s","on","31B","that","3","wonder","3","stamp","3",0.209999999999127,FALSE
"539","My immediate reactions was likely similar to those of everyone else--run a quick inventory of the family. Where were they and did they know? I called my recently widowed mother who was angry and frightened. As soon as I felt she was calm I began calling the kids, and the the unthinkable happened. The Pentagon!","my immediate reactions was likely similar to those of everyone",11,"elserun","elserun","3","of","42F","who","41C","you","31B",0.639999999999418,TRUE
"540","There isn't a meal that I cook or an outfit that I wear these days that doesn't come from that place.","there isnt a meal that i cook or",9,"an","an","5","or","51D","outfit","4","an","41A",1.05000000000291,TRUE
"541","Julia, who has no face, is depicted at various ages from 3 through 67, enjoying the benefits of various Obama-backed welfare-state programs.","julia who has no",5,"face","is","4","no","41C","face","31A","no","32B",0.559999999997672,TRUE
"542","UPDATE: Bonus coverage! At Tennessee, players don’t get suspended, they get… they get… hell, they get told they have something to do. No, really.","update bonus coverage at tennessee players don’t get suspended they get� they get� hell they get told they have something",21,"to","have","42F","do","3","to","3","have","32C",0.5,TRUE
"543","Red Boots - £10 Ebay","red boots",3,"�","capsicum","21","with","21","and","21","when","21",0.0600000000049477,FALSE
"544","Collecting your jar of hearts","collecting your jar of",5,"hearts","hearts","4","added","3","hearts","31B","hearts","31A",0.379999999997381,TRUE
"545","only when siblings were at throats","only when siblings were at",6,"throats","at","31B","start","3","were","32C","master","32A",0.44999999999709,FALSE
"546","Taylor Swift ft. The Civil Wars - Safe & Sound (The Hunger Games)","taylor swift ft the civil wars safe sound the",10,"hunger","the","41C","fetus","3","the","31B","the","32B",0.530000000006112,FALSE
"547","Here are my 5 folders again, and how I’m doing so far with each one:","here are my folders again and how i’m doing",10,"so","day","32A","there","32A","to","2","a","2",0.299999999995634,FALSE
"548","Oh and did I mention you're a bunch of selfish whiners?","oh",2,"and","well","2","the","2","of","2","to","2",0.069999999999709,FALSE
"549","Within a few months, I was stationed in England and quickly discovered that the popular duo was HUGE in their native country, and rightfully so.","within a few months i was stationed in england and quickly discovered that the popular duo was huge in their native country",23,"and","and","3","country","31B","native","42F","and","21",0.540000000000873,TRUE
"550","I have some of your clothes. Mom gave me your pajamas to wear when I spent the night, and the beige ones just aren't my style. I don't think they were yours, either. Bears on a man who made each different tartan his own? Exactly. I can't bring myself to do anything with them, toss them or give them to an unknown who might not appreciate who you were. I was across the country when you died, and part of me worries that I'll be discarding what you wore when you told K you were glad she'd made the trip safely, when you last fell asleep with Mom making sure you'd taken those pills. You'd think this was no big deal, put them in a bag already, but I can't do it, and I can't bring myself to ask her which pair they were. It wouldn't be fair. Some of these clothes are still in a bag in my hallway. I caught Cricket laying on them, right there in the upright suitcase, and I love that she did, because you would have gotten a kick out of it. I would have called you to tell you, 30 seconds of nothing of consequence punctuated by a giggle, and we would have said our goodbyes. Until the next silly thing happened. I think about calling you like this a lot, particularly with each and every dumb pun I know would get a laugh and a shake of your head. It still takes a few seconds to realize it just can't happen.","i have some of your clothes mom gave me your pajamas to wear when i spent the night and the beige ones just arent my style i dont think they were yours either bears on a man who made each different tartan his own exactly i cant bring myself to do anything with them toss them or give them to an unknown who might not appreciate who you were i was across the country when you died and part of me worries that ill be discarding what you wore when you told k you were glad shed made the trip safely when you last fell asleep with mom making sure youd taken those pills youd think this was no big deal put them in a bag already but i cant do it and i cant bring myself to ask her which pair they were it wouldnt be fair some of these clothes are still in a bag in my hallway i caught cricket laying on them right there in the upright suitcase and i love that she did because you would have gotten a kick out of it i would have called you to tell you seconds of nothing of consequence punctuated by a giggle and we would have said our goodbyes until the next silly thing happened i think about calling you like this a lot particularly with each and every dumb pun i know would get a laugh and a shake of your head it still takes a few seconds to realize it just",257,"cant","cant","4","just","41C","cant","31A","is","31B",0.590000000003783,TRUE
"551","Apart from redistribution, which enables blacks to secure loans to buy or lease land from the government, the land reform programme also includes restitution (state sanctioned theft), by which black communities recover ancestral land.","apart from",3,"redistribution","the","3","a","3","the","21","a","21",0.159999999996217,FALSE
"552","snaking conduits of slick poison,","snaking conduits",3,"of","of","3","slick","2","of","21","conduits","21",0.180000000000291,TRUE
"553","Or, at least, I did once I opened my eyes and found myself lip to lip with a large yellow beak.","or at least i did once i opened my eyes",11,"and","and","5","and","4","and","41A","and","41B",0.959999999999127,TRUE
"554","Focus. I like it.","focus i",3,"like","it","3","like","3","is","21","like","21",0.120000000002619,TRUE
"555","I first decorated Allie's room with a traditional, cottage theme, using antiques and lots of white.","i first decorated allies room with a traditional",9,"cottage","a","42F","of","32B","is","2","and","32C",0.519999999996799,FALSE
"556","P.S. Don't tell Zephyr about this, cause he don't know yet.","ps dont tell",4,"zephyr","zephyr","4","zephyr","3","zephyr","31A","zephyr","31B",0.290000000000873,TRUE
"557","If you cant read it it says:","if you cant",4,"read","it","4","read","31A","read","4","like","3",0.290000000000873,TRUE
"558","Place the chicken in a pan and cover with the buttermilk , 2 tsp. salt and nice dose of hot sauce; allow to set covered in the refrigerator for at least 2 hours , overnight even better. Remove chicken and allow to drain over wire rack set in pan. Combine the flour ,pepper and season salt ; whisk to combine. Dredge the chicken in the flour and shake off excess flour. In a large frying pan add the lard and heat until melted on medium heat. Add vegetable oil if needed to fill pan no more then half way. Oil is ready when a handle of a wooden spoon placed in the oil bubbles. Add the chicken , but do not over crowd pan. Fry about 10 minutes per side until golden. Remove to a rack to drain when finished.","place the chicken in a pan and cover with the buttermilk tsp salt and nice dose of hot sauce allow to set covered in the refrigerator for at least hours overnight even better remove chicken and allow to drain over wire rack set in pan combine the flour pepper and season salt whisk to combine dredge the chicken in the flour and shake off excess flour in a large frying pan add the lard and heat until melted on medium heat add vegetable oil if needed",87,"to","to","4","to","31A","if","42F","to","31B",0.569999999999709,TRUE
"559","Christine x","christine",2,"x","x","2",NA,NA,NA,NA,NA,NA,0.0800000000017462,TRUE
"560","It was fiery because I felt","it was",3,"fiery","lovely","3","not","3","so","3","already","3",0.110000000000582,FALSE
"561","“Never mind,” I said walking back to the freezer to put away the orange juice. I learned my lesson long ago about those small and inconspicuous, non-bank affiliated ATM’s which charge anywhere from five dollars or higher for their use. Santorum clone kept smiling like a pleasantly dressed but maniacal serial killer as I walked out leaving me with a slight concern for my safety but an overwhelming urge to wash my hands for some reason.","“never mind” i said walking back to the freezer to put away the orange juice i learned my lesson long ago about those small and inconspicuous nonbank affiliated atm’s which charge anywhere from five dollars or higher for their",40,"use","use","4","their","41C","use","31A","use","31B",0.629999999997381,TRUE
"562","I’ve said it a thousand times before and I’ll say it again: I love working with other artists!","i’ve said",3,"it","one","2","love","2","hed","2","the","2",0.0400000000008731,FALSE
"563","She is being held without bond and charged with three counts of lewd or indecent proposals or acts to a child under 16.","she is being held without bond and charged with three counts of lewd",14,"or","or","4","lewd","41C","indecent","3","indecent","2",0.629999999997381,TRUE
"564","While I was sitting in a suite tonight, waiting for a search warrant to go through, I just kept thinking about the song, “For the Moments I Feel Faint” by Relient K. It was a big song for me in high school. The only line I could remember of the song was a part of the chorus, “You’re telling me that there’s no hope; I’m telling you you’re wrong.” I had a thought, have I been telling myself that there’s no hope? I’ve been known to do so, when I get in a bad enough mood.","while i was sitting in",6,"a","a","5","a","4","a","41A","a","42D",0.650000000001455,TRUE
"565","chill wind","chill",2,"wind","wind","2",NA,NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"566","I made sure I read during both my break 15mins and lunch 30mins, with the exception of a few interruptions. The result is that (at 4.30pm GMT) I've now read 23 pages of 'Crusade of Tears' by C.D. Baker in half an hour.","i made sure i read during",7,"both","both","4","during","41C","read","52J","my","3",0.809999999997672,TRUE
"567","or should I say hadn't, because my darling little lady who has been a non-sleeping crab of a child lately decided SHE was the anti-waster.","or should i say hadnt because my darling little lady who has been a",15,"nonsleeping","a","51D","a","42C","a","42E","a","42F",1.19000000000233,FALSE
"568","Heat sesame oil in a large skillet over medium-high heat. Add onion to pan; saute 3 minutes or until softened. Add","heat sesame oil in a large skillet over mediumhigh heat add onion",13,"to","to","4","pan","3","to","31A","to","31B",0.430000000000291,TRUE
"569","I reckon I reclaim about 65% of my marketing budget back from the agency! It's a win-win! Well, it's a win! For me!","i reckon i reclaim about of my marketing budget back from the agency its a winwin well its a",20,"win","a","51D","for","4","a","41C","a","42C",0.700000000004366,FALSE
"570","Oh, The Bitch is undone! (Maybe).","oh the bitch is",5,"undone","undone","4","undone","3","is","41C","undone","31B",0.529999999998836,TRUE
"571","I have also missed worship. Some of the songs really resonate with me and often bring me to tears. This weekend was no exception. In fact, I'm including the lyrics to Before the Throne of God because it is an absolutely beautiful song and describes the love of God in a way that just grabs hold of my heart.","i have also missed worship some of the songs really resonate with me and often bring me to tears this weekend was no exception in fact im including the lyrics to before the throne of god because it is an absolutely beautiful song and describes the love of god",50,"in","a","4","in","41B","in","5","in","41C",0.769999999996799,TRUE
"572","On Monday, December 26 at midnight, the give away ends.","on monday december at midnight the give away",9,"ends","ends","4","give","42F","everything","3","ends","3",0.620000000002619,TRUE
"573","I don’t want James to see his dad like I have been seeing him. I want HSSH to be healed and then come into his children’s lives.","i don’t want james to see his dad like i have been",13,"seeing","been","51D","been","41C","have","52J","been","42C",0.849999999998545,FALSE
